Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.911671532,125.693897
1,10000,2,15.903688947,125.756987
1,10000,3,15.943423041,125.443576
1,10000,4,15.782046635,126.726276
1,10000,5,15.902584376,125.765722
2,10000,1,9.887850378,202.268433
2,10000,2,9.684414604,206.517387
2,10000,3,9.728617592,205.579054
2,10000,4,9.694924457,206.293510
2,10000,5,9.730101328,205.547705
3,10000,1,6.253981204,319.796292
3,10000,2,6.211288707,321.994371
3,10000,3,6.214942280,321.805080
3,10000,4,6.209852239,322.068855
3,10000,5,6.195833879,322.797551
4,10000,1,4.897815332,408.345326
4,10000,2,4.901567315,408.032752
4,10000,3,4.873603708,410.373949
4,10000,4,4.918949408,406.590886
4,10000,5,4.860301193,411.497132
5,10000,1,3.719032293,537.774303
5,10000,2,3.723816495,537.083394
5,10000,3,3.688123336,542.281214
5,10000,4,3.731840480,535.928588
5,10000,5,3.687633469,542.353251
6,10000,1,3.207813531,623.477637
6,10000,2,3.398299497,588.529646
6,10000,3,3.329100201,600.762933
6,10000,4,3.295395564,606.907414
6,10000,5,3.215368110,622.012762
7,10000,1,2.537469608,788.186780
7,10000,2,2.539285573,787.623110
7,10000,3,2.537298464,788.239944
7,10000,4,2.539406323,787.585658
7,10000,5,2.545813263,785.603575
8,10000,1,2.324753686,860.306196
8,10000,2,2.400664501,833.102668
8,10000,3,2.340250017,854.609544
8,10000,4,2.337737496,855.528049
8,10000,5,2.313039553,864.663121
9,10000,1,2.104862230,950.180953
9,10000,2,2.184220454,915.658489
9,10000,3,2.118755943,943.950155
9,10000,4,2.94351227,954.949664
9,10000,5,2.140235933,934.476414
10,10000,1,1.985725200,1007.188709
10,10000,2,1.908753084,1047.804463
10,10000,3,1.900916899,1052.123847
10,10000,4,1.901720778,1051.679102
10,10000,5,1.909356742,1047.473191
