Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.983014331,125.132842
1,10000,2,15.922207612,125.610722
1,10000,3,15.790185774,126.660954
1,10000,4,15.925532293,125.584499
1,10000,5,15.949575226,125.395189
2,10000,1,9.863467046,202.768458
2,10000,2,9.857903624,202.882892
2,10000,3,9.721518449,205.729178
2,10000,4,9.893785951,202.147086
2,10000,5,9.910808713,201.799879
3,10000,1,6.403018968,312.352659
3,10000,2,6.311289958,316.892428
3,10000,3,6.432640538,310.914311
3,10000,4,6.225887801,321.239326
3,10000,5,6.462864888,309.460283
4,10000,1,5.14571185,398.837692
4,10000,2,5.9666105,399.228204
4,10000,3,5.45471594,396.395057
4,10000,4,4.998287412,400.137054
4,10000,5,5.112161225,391.223968
5,10000,1,3.985749320,501.787704
5,10000,2,3.711930774,538.803152
5,10000,3,3.684772466,542.774355
5,10000,4,3.691063363,541.849273
5,10000,5,3.804811425,525.650230
6,10000,1,3.239205997,617.435261
6,10000,2,3.697126199,540.960706
6,10000,3,3.633030188,550.504647
6,10000,4,3.558910673,561.969710
6,10000,5,3.234905627,618.256058
7,10000,1,2.573960631,777.012661
7,10000,2,2.544623266,785.970963
7,10000,3,2.574044861,776.987235
7,10000,4,2.710204576,737.951673
7,10000,5,2.541453890,786.951126
8,10000,1,2.341635823,854.103777
8,10000,2,2.403741522,832.036216
8,10000,3,2.340413240,854.549943
8,10000,4,2.391580888,836.266927
8,10000,5,2.357873030,848.222094
9,10000,1,2.242062699,892.035714
9,10000,2,2.106231473,949.563249
9,10000,3,2.140469144,934.374600
9,10000,4,2.96805191,953.832053
9,10000,5,2.121403601,942.772040
10,10000,1,2.16113312,992.007735
10,10000,2,1.899079995,1053.141524
10,10000,3,1.909578176,1047.351727
10,10000,4,1.905872377,1049.388209
10,10000,5,1.903374759,1050.765221
