Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.150557668,132.008342
1,10000,2,15.209737054,131.494712
1,10000,3,15.236411957,131.264500
1,10000,4,15.321389527,130.536463
1,10000,5,15.231247860,131.309005
2,10000,1,7.848591168,254.822803
2,10000,2,7.834486872,255.281556
2,10000,3,7.843990282,254.972269
2,10000,4,7.827435651,255.511522
2,10000,5,7.842499260,255.020744
3,10000,1,5.131816478,389.725550
3,10000,2,5.127586587,390.047046
3,10000,3,5.121992928,390.473011
3,10000,4,5.132396566,389.681501
3,10000,5,5.132159087,389.699533
4,10000,1,3.783231933,528.648530
4,10000,2,3.785253547,528.366191
4,10000,3,3.782496650,528.751294
4,10000,4,3.782807552,528.707837
4,10000,5,3.786626091,528.174674
5,10000,1,3.187589197,627.433423
5,10000,2,3.179330232,629.063310
5,10000,3,3.374434760,592.691856
5,10000,4,3.376341827,592.357084
5,10000,5,3.368656089,593.708573
6,10000,1,2.535443331,788.816684
6,10000,2,2.489204712,803.469474
6,10000,3,2.497634189,800.757777
6,10000,4,2.496260912,801.198300
6,10000,5,2.498591042,800.451121
7,10000,1,2.229452985,897.081039
7,10000,2,2.318907448,862.475129
7,10000,3,2.326725272,859.577202
7,10000,4,2.321713050,861.432898
7,10000,5,2.325714285,859.950860
8,10000,1,1.970434326,1015.004648
8,10000,2,2.70158791,966.109464
8,10000,3,2.91694096,956.162760
8,10000,4,2.83600256,959.877018
8,10000,5,1.974914000,1012.702325
9,10000,1,1.710308589,1169.379615
9,10000,2,1.751316783,1141.997850
9,10000,3,1.747593595,1144.430837
9,10000,4,1.750014779,1142.847491
9,10000,5,1.717429018,1164.531389
10,10000,1,1.523431700,1312.825511
10,10000,2,1.527505989,1309.323835
10,10000,3,1.524731161,1311.706648
10,10000,4,1.512291785,1322.496108
10,10000,5,1.522230147,1313.861773
