Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.621056248,136.789023
1,10000,2,14.701675315,136.038918
1,10000,3,14.563181520,137.332629
1,10000,4,14.643753015,136.577010
1,10000,5,14.568112326,137.286146
2,10000,1,8.740970555,228.807543
2,10000,2,8.834095309,226.395565
2,10000,3,8.805016201,227.143250
2,10000,4,8.489944736,235.572794
2,10000,5,8.485956759,235.683501
3,10000,1,5.389223739,371.110961
3,10000,2,5.550255424,360.343776
3,10000,3,5.568892031,359.137866
3,10000,4,5.555449581,360.006867
3,10000,5,5.559413874,359.750154
4,10000,1,4.98344558,488.001917
4,10000,2,4.104267660,487.297653
4,10000,3,4.105923492,487.101137
4,10000,4,4.98982921,487.925917
4,10000,5,4.107120650,486.959155
5,10000,1,3.272729061,611.110777
5,10000,2,3.273324552,610.999602
5,10000,3,3.269388264,611.735236
5,10000,4,3.265738567,612.418894
5,10000,5,3.280914470,609.586144
6,10000,1,2.707110303,738.795164
6,10000,2,2.713126237,737.157001
6,10000,3,2.720698632,735.105306
6,10000,4,2.705001965,739.370997
6,10000,5,2.708579023,738.394554
7,10000,1,2.345307860,852.766511
7,10000,2,2.349742354,851.157148
7,10000,3,2.353483078,849.804283
7,10000,4,2.352560684,850.137475
7,10000,5,2.357407140,848.389727
8,10000,1,1.929640984,1036.462231
8,10000,2,1.937643288,1032.181729
8,10000,3,1.930989948,1035.738173
8,10000,4,1.935385463,1033.385875
8,10000,5,1.931163755,1035.644955
9,10000,1,1.743161761,1147.340450
9,10000,2,1.733222821,1153.919724
9,10000,3,1.746622975,1145.066811
9,10000,4,1.741196336,1148.635544
9,10000,5,1.745186245,1146.009491
10,10000,1,1.557387699,1284.201745
10,10000,2,1.550326082,1290.051186
10,10000,3,1.559527591,1282.439638
10,10000,4,1.547361499,1292.522789
10,10000,5,1.543162742,1296.039585
