Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.787050439,135.253478
1,10000,2,14.673049885,136.304314
1,10000,3,14.728119445,135.794662
1,10000,4,14.589544602,137.084471
1,10000,5,14.721319974,135.857383
2,10000,1,7.597667125,263.238698
2,10000,2,7.837112668,255.196025
2,10000,3,7.765562598,257.547341
2,10000,4,7.767083281,257.496917
2,10000,5,7.766314755,257.522398
3,10000,1,5.75299494,394.065415
3,10000,2,5.67376342,394.681560
3,10000,3,5.64711844,394.889198
3,10000,4,5.80750572,393.642627
3,10000,5,4.959079121,403.300684
4,10000,1,3.715301574,538.314309
4,10000,2,3.720505160,537.561410
4,10000,3,3.707951840,539.381331
4,10000,4,3.765228831,531.176215
4,10000,5,3.712873882,538.666290
5,10000,1,3.260751954,613.355455
5,10000,2,3.259783022,613.537768
5,10000,3,3.255515570,614.342016
5,10000,4,3.267401555,612.107195
5,10000,5,3.265010090,612.555534
6,10000,1,2.499919317,800.025819
6,10000,2,2.484970860,804.838412
6,10000,3,2.481233464,806.050712
6,10000,4,2.481313049,806.024859
6,10000,5,2.480040977,806.438288
7,10000,1,2.273840531,879.569157
7,10000,2,2.286297804,874.776679
7,10000,3,2.290245884,873.268680
7,10000,4,2.275286947,879.010009
7,10000,5,2.270880573,880.715624
8,10000,1,1.928395345,1037.131730
8,10000,2,1.939969449,1030.944070
8,10000,3,1.933078511,1034.619126
8,10000,4,1.937430199,1032.295254
8,10000,5,1.932037840,1035.176412
9,10000,1,1.732692089,1154.273176
9,10000,2,1.731111741,1155.326922
9,10000,3,1.740257415,1149.255267
9,10000,4,1.732693178,1154.272450
9,10000,5,1.736050778,1152.040036
10,10000,1,1.529697889,1307.447709
10,10000,2,1.535885474,1302.180425
10,10000,3,1.541524405,1297.417020
10,10000,4,1.535907230,1302.161980
10,10000,5,1.546556273,1293.195750
