Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.654063843,136.480912
1,10000,2,14.651060473,136.508890
1,10000,3,14.806110070,135.079369
1,10000,4,14.649479375,136.523623
1,10000,5,14.832070604,134.842940
2,10000,1,8.831722118,226.456400
2,10000,2,8.837011907,226.320845
2,10000,3,8.933779466,223.869417
2,10000,4,8.846755942,226.071569
2,10000,5,8.898755603,224.750526
3,10000,1,5.724569144,349.371271
3,10000,2,5.579007851,358.486680
3,10000,3,5.740973277,348.372985
3,10000,4,5.577825015,358.562700
3,10000,5,5.579303895,358.467658
4,10000,1,4.120417426,485.387715
4,10000,2,4.517412804,442.731290
4,10000,3,4.441935526,450.254171
4,10000,4,4.112432286,486.330196
4,10000,5,4.112842715,486.281664
5,10000,1,3.391140054,589.772162
5,10000,2,3.282149856,609.356698
5,10000,3,3.265040173,612.549890
5,10000,4,3.261124795,613.285331
5,10000,5,3.263752374,612.791588
6,10000,1,2.830592607,706.565825
6,10000,2,2.713204364,737.135774
6,10000,3,2.814965587,710.488259
6,10000,4,2.716979110,736.111659
6,10000,5,2.831716553,706.285379
7,10000,1,2.430617299,822.836240
7,10000,2,2.431773493,822.445020
7,10000,3,2.359130462,847.769987
7,10000,4,2.359352478,847.690211
7,10000,5,2.350914286,850.732845
8,10000,1,2.73840495,964.394323
8,10000,2,2.110748823,947.531027
8,10000,3,1.938111142,1031.932564
8,10000,4,1.935278272,1033.443112
8,10000,5,1.938958633,1031.481521
9,10000,1,1.744812590,1146.254911
9,10000,2,1.739566716,1149.711581
9,10000,3,1.845642456,1083.633503
9,10000,4,1.736796724,1151.545240
9,10000,5,1.732433733,1154.445311
10,10000,1,1.680242024,1190.304713
10,10000,2,1.642761550,1217.462145
10,10000,3,1.543031816,1296.149554
10,10000,4,1.555783888,1285.525590
10,10000,5,1.547624779,1292.302906
