Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.696416553,136.087596
1,10000,2,14.597324698,137.011407
1,10000,3,14.634747423,136.661053
1,10000,4,14.732300794,135.756120
1,10000,5,14.665184832,136.377415
2,10000,1,7.754080424,257.928715
2,10000,2,7.747658392,258.142512
2,10000,3,7.830228022,255.420403
2,10000,4,7.742993698,258.298028
2,10000,5,7.743494529,258.281322
3,10000,1,5.64424203,394.911627
3,10000,2,5.99076517,392.227885
3,10000,3,5.74152725,394.154474
3,10000,4,5.54329303,395.700375
3,10000,5,5.79756014,393.719697
4,10000,1,3.722343585,537.295914
4,10000,2,3.713149192,538.626351
4,10000,3,3.720655777,537.539649
4,10000,4,3.707729196,539.413720
4,10000,5,3.713519762,538.572602
5,10000,1,3.262361597,613.052827
5,10000,2,3.262081860,613.105399
5,10000,3,3.380993174,591.542158
5,10000,4,3.264740356,612.606144
5,10000,5,3.397600463,588.650732
6,10000,1,2.524204808,792.328734
6,10000,2,2.481259836,806.042145
6,10000,3,2.494856495,801.649315
6,10000,4,2.476913282,807.456609
6,10000,5,2.500615000,799.803248
7,10000,1,2.270382216,880.908944
7,10000,2,2.285567917,875.056035
7,10000,3,2.278481724,877.777504
7,10000,4,2.277216390,878.265240
7,10000,5,2.282454465,876.249682
8,10000,1,1.934313527,1033.958545
8,10000,2,1.934099699,1034.072856
8,10000,3,1.934890642,1033.650149
8,10000,4,2.91860080,956.086891
8,10000,5,2.87835603,957.929828
9,10000,1,1.738082339,1150.693471
9,10000,2,1.732768042,1154.222580
9,10000,3,1.845415678,1083.766668
9,10000,4,1.846754578,1082.980935
9,10000,5,1.729950203,1156.102642
10,10000,1,1.539781680,1298.885437
10,10000,2,1.540903149,1297.940108
10,10000,3,1.536794803,1301.409919
10,10000,4,1.538681860,1299.813855
10,10000,5,1.606891392,1244.639190
