Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.28745190,556.614863
2000,2,0.28898228,553.667166
2000,3,0.28154412,568.294589
2000,4,0.28718772,557.126886
2000,5,0.28658649,558.295682
4000,1,0.137369977,931.790212
4000,2,0.131329529,974.647522
4000,3,0.138939151,921.266605
4000,4,0.138076873,927.019835
4000,5,0.137001183,934.298502
6000,1,0.599262693,720.885857
6000,2,0.602986422,716.434043
6000,3,0.602834738,716.614310
6000,4,0.601528013,718.171042
6000,5,0.606351949,712.457510
8000,1,1.302111794,786.414811
8000,2,1.291081066,793.133775
8000,3,1.294673694,790.932885
8000,4,1.296154628,790.029197
8000,5,1.291695986,792.756199
10000,1,2.413568994,828.648365
10000,2,2.469098102,810.012368
10000,3,2.440756534,819.418067
10000,4,2.470360587,809.598409
10000,5,2.410038809,829.862155
12000,1,4.14701485,860.836108
12000,2,3.259112023,1060.411540
12000,3,3.896906099,886.857397
12000,4,3.229769348,1070.045451
12000,5,3.256754478,1061.179166
14000,1,6.198040250,885.441168
14000,2,6.294445603,871.879804
14000,3,6.128159760,895.538011
14000,4,6.132811849,894.858694
14000,5,6.123122810,896.274690
16000,1,7.690868565,1065.159277
16000,2,8.828644050,927.888808
16000,3,7.688219400,1065.526304
16000,4,8.906321042,919.796172
16000,5,7.706346104,1063.019995
18000,1,12.842211736,908.254765
18000,2,12.606636643,925.226952
18000,3,12.475794693,934.930422
18000,4,12.767888723,913.541796
18000,5,12.521736198,931.500218
20000,1,13.823913523,1157.414648
20000,2,13.790479147,1160.220746
20000,3,11.369136002,1407.318902
20000,4,16.566480205,965.805639
20000,5,13.887754338,1152.094112
