Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.28673281,558.010784
2000,2,0.28791411,555.721288
2000,3,0.28236870,566.635041
2000,4,0.27592752,579.862422
2000,5,0.28802444,555.508414
4000,1,0.137725475,929.385068
4000,2,0.138905893,921.487183
4000,3,0.135938333,941.603425
4000,4,0.136241071,939.511111
4000,5,0.138344156,925.228818
6000,1,0.603982431,715.252593
6000,2,0.604931783,714.130109
6000,3,0.591745920,730.043056
6000,4,0.600381311,719.542717
6000,5,0.595129903,725.891940
8000,1,1.289398454,794.168782
8000,2,1.293693174,791.532351
8000,3,1.276380941,802.268325
8000,4,1.283444075,797.853229
8000,5,1.288024424,795.015980
10000,1,2.260708044,884.678588
10000,2,2.399993261,833.335673
10000,3,2.304737034,867.777959
10000,4,2.415167934,828.099766
10000,5,2.264798666,883.080704
12000,1,3.357011620,1029.487053
12000,2,3.904632937,885.102404
12000,3,3.918418234,881.988546
12000,4,3.908435966,884.241172
12000,5,4.91933329,844.588541
14000,1,5.819645783,943.012720
14000,2,5.837550701,940.120314
14000,3,5.838773500,939.923427
14000,4,5.834739418,940.573281
14000,5,4.907796763,1118.220714
16000,1,8.55584120,1016.934325
16000,2,8.71645047,1014.910833
16000,3,8.47914595,1017.903446
16000,4,8.64649892,1015.791151
16000,5,8.71511775,1014.927591
18000,1,12.672189795,920.440760
18000,2,12.675387981,920.208519
18000,3,12.651793706,921.924612
18000,4,12.684990141,919.511948
18000,5,12.640760421,922.729299
20000,1,15.944331220,1003.491447
20000,2,15.758685214,1015.313129
20000,3,14.958461917,1069.628688
20000,4,16.58566139,996.352966
20000,5,15.558303843,1028.389737
