Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.60627355,263.907274
2000,2,0.55421214,288.698115
2000,3,0.57216889,279.637713
2000,4,0.59858521,267.296948
2000,5,0.58896605,271.662518
4000,1,0.206018219,621.304274
4000,2,0.193902399,660.125922
4000,3,0.215711344,593.385575
4000,4,0.208357491,614.328764
4000,5,0.204267731,626.628589
6000,1,0.650839311,663.758308
6000,2,0.614581011,702.917910
6000,3,0.630437787,685.238114
6000,4,0.655516801,659.022010
6000,5,0.696911233,619.878084
8000,1,1.776403402,576.445642
8000,2,1.675606229,611.122102
8000,3,1.701267994,601.903994
8000,4,1.677799754,610.323132
8000,5,1.699391748,602.568537
10000,1,3.465095566,577.184658
10000,2,3.495679322,572.134860
10000,3,3.477215328,575.172893
10000,4,3.453808936,579.070828
10000,5,3.452855927,579.230655
12000,1,5.713439220,604.889606
12000,2,5.703558562,605.937497
12000,3,5.700424118,606.270679
12000,4,5.690999426,607.274705
12000,5,5.694637875,606.886702
14000,1,9.185943399,597.434554
14000,2,9.228609152,594.672492
14000,3,8.799784931,623.651605
14000,4,9.167698143,598.623549
14000,5,9.111802674,602.295747
16000,1,9.65238399,903.671767
16000,2,10.482358053,781.503547
16000,3,9.461716,910.175529
16000,4,8.986638088,911.575599
16000,5,9.731050716,841.841260
18000,1,16.485008336,707.551963
18000,2,11.903100859,979.912725
18000,3,11.734007249,994.033816
18000,4,11.608409882,1004.788780
18000,5,11.884818353,981.420132
20000,1,26.172486997,611.328988
20000,2,26.367109843,606.816602
20000,3,20.223098475,791.174509
20000,4,26.984258662,592.938283
20000,5,25.155614964,636.040901
