Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.44729989,357.701854
2000,2,0.39112925,409.071937
2000,3,0.39750570,402.509951
2000,4,0.35694874,448.243633
2000,5,0.36187007,442.147647
4000,1,0.166233072,770.003216
4000,2,0.189324820,676.086738
4000,3,0.166031033,770.940213
4000,4,0.166679480,767.940961
4000,5,0.170715839,749.783973
6000,1,0.672244002,642.623807
6000,2,0.621964001,694.573961
6000,3,0.629394953,686.373473
6000,4,0.629566127,686.186854
6000,5,0.629910614,685.811590
8000,1,1.371460998,746.649013
8000,2,1.392949767,735.130601
8000,3,1.392888995,735.162675
8000,4,1.353012894,756.829447
8000,5,1.361739729,751.979235
10000,1,2.485321762,804.724777
10000,2,2.520925140,793.359536
10000,3,2.466419317,810.892125
10000,4,2.502892805,799.075372
10000,5,2.435331804,821.243330
12000,1,3.906426871,884.695942
12000,2,3.900539770,886.031217
12000,3,3.932944748,878.730880
12000,4,3.934990627,878.274011
12000,5,3.993253640,865.459676
14000,1,6.418115407,855.079669
14000,2,6.334539212,866.361359
14000,3,6.924124022,792.591234
14000,4,6.571154613,835.165252
14000,5,6.366039246,862.074484
16000,1,8.142905023,1006.029172
16000,2,8.87583532,1012.910713
16000,3,8.77513406,1014.173495
16000,4,7.906152884,1036.155020
16000,5,9.679648299,846.311741
18000,1,13.713288621,850.561840
18000,2,12.846043917,907.983818
18000,3,13.787234851,845.999950
18000,4,14.11184422,832.477801
18000,5,13.482291284,865.134846
20000,1,15.475706015,1033.878518
20000,2,17.1307351,941.104097
20000,3,17.44569420,938.715412
20000,4,17.39466004,938.996562
20000,5,16.484372448,970.616264
