Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.61983874,258.131655
2000,2,0.62065908,257.790477
2000,3,0.63470691,252.084856
2000,4,0.62929062,254.254545
2000,5,0.63642323,251.405028
4000,1,0.314094944,407.520090
4000,2,0.307868529,415.761885
4000,3,0.318562607,401.804848
4000,4,0.313640442,408.110635
4000,5,0.316942514,403.858726
6000,1,0.969722085,445.488462
6000,2,0.977715396,441.846371
6000,3,0.974020991,443.522269
6000,4,0.969210034,445.723821
6000,5,0.969266220,445.697984
8000,1,1.970878872,519.565162
8000,2,1.987490838,515.222501
8000,3,1.994105400,513.513478
8000,4,1.989408701,514.725807
8000,5,1.995053764,513.269376
10000,1,3.267754310,612.041118
10000,2,3.298819506,606.277487
10000,3,3.370344533,593.411143
10000,4,3.339236988,598.939221
10000,5,3.349399044,597.122043
12000,1,4.696672644,735.840086
12000,2,4.632581229,746.020378
12000,3,4.595030181,752.116932
12000,4,4.681791591,738.178950
12000,5,4.636134741,745.448567
14000,1,7.707743034,712.011282
14000,2,7.625700295,719.671609
14000,3,7.788720692,704.608654
14000,4,7.711231277,711.689198
14000,5,7.698545969,712.861886
16000,1,7.688962503,1065.423326
16000,2,7.740194047,1058.371399
16000,3,7.775692050,1053.539665
16000,4,6.670695725,1228.057813
16000,5,7.737352909,1058.760030
18000,1,13.128314732,888.461332
18000,2,13.84505335,891.436069
18000,3,13.93805098,890.802934
18000,4,13.75547166,892.046799
18000,5,13.145759070,887.282350
20000,1,19.924270765,803.040683
20000,2,20.384218127,784.920957
20000,3,16.716519218,957.137057
20000,4,19.781404591,808.840440
20000,5,19.891825224,804.350522
