Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.23413753,683.359050
2000,2,0.22138989,722.706895
2000,3,0.21415299,747.129424
2000,4,0.22597690,708.036972
2000,5,0.22110074,723.652033
4000,1,0.65602817,1951.135726
4000,2,0.67337235,1900.879951
4000,3,0.68034204,1881.406594
4000,4,0.67372150,1899.894838
4000,5,0.64601907,1981.365658
6000,1,0.151455445,2852.323995
6000,2,0.155964805,2769.855674
6000,3,0.150637448,2867.812790
6000,4,0.157558056,2741.846472
6000,5,0.157386594,2744.833528
8000,1,0.374563910,2733.845874
8000,2,0.381684573,2682.843564
8000,3,0.372484915,2749.104618
8000,4,0.371743773,2754.585482
8000,5,0.361600266,2831.856324
10000,1,1.135298087,1761.651872
10000,2,1.121201792,1783.800217
10000,3,1.120914955,1784.256683
10000,4,1.129077134,1771.358165
10000,5,1.147583673,1742.792310
12000,1,2.268612129,1523.398361
12000,2,2.234542435,1546.625361
12000,3,2.203764185,1568.225867
12000,4,2.257189438,1531.107643
12000,5,2.202834313,1568.887855
14000,1,3.416054158,1606.531907
14000,2,3.420650070,1604.373405
14000,3,3.427220639,1601.297546
14000,4,3.422745997,1603.390963
14000,5,3.426583208,1601.595428
16000,1,4.974270171,1646.874761
16000,2,4.993723753,1640.459185
16000,3,4.986790128,1642.740077
16000,4,4.984267254,1643.571579
16000,5,4.980423799,1644.839943
18000,1,6.170260235,1890.357871
18000,2,6.197473069,1882.057392
18000,3,6.218503040,1875.692578
18000,4,6.173341935,1889.414214
18000,5,6.188111591,1884.904599
20000,1,7.551418204,2118.807298
20000,2,9.93517326,1759.495191
20000,3,7.590322282,2107.947384
20000,4,7.581038261,2110.528855
20000,5,7.526764273,2125.747455
