Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.20031719,798.733249
2000,2,0.20769093,770.375481
2000,3,0.20765727,770.500354
2000,4,0.19304785,828.810059
2000,5,0.19801137,808.034407
4000,1,0.64338635,1989.473355
4000,2,0.66100382,1936.448718
4000,3,0.68981449,1855.571344
4000,4,0.68977240,1855.684571
4000,5,0.64604754,1981.278344
6000,1,0.210789888,2049.434174
6000,2,0.205933921,2097.760281
6000,3,0.211208071,2045.376381
6000,4,0.211605488,2041.534953
6000,5,0.210851794,2048.832461
8000,1,0.716003164,1430.161278
8000,2,0.709678312,1442.907276
8000,3,0.704796090,1452.902498
8000,4,0.710930063,1440.366716
8000,5,0.709951096,1442.352869
10000,1,1.326020222,1508.272624
10000,2,1.312289817,1524.053585
10000,3,1.328733706,1505.192493
10000,4,1.333343338,1499.988745
10000,5,1.323201232,1511.485896
12000,1,2.91322252,1652.543025
12000,2,2.19588185,1711.239958
12000,3,2.23640252,1707.813430
12000,4,2.27069606,1704.924187
12000,5,2.38371984,1695.470712
14000,1,2.775183836,1977.526652
14000,2,3.225359238,1701.515892
14000,3,2.755661248,1991.536516
14000,4,3.253028703,1687.043215
14000,5,2.821767741,1944.880126
16000,1,3.675303201,2228.931751
16000,2,3.718626940,2202.963656
16000,3,3.685444155,2222.798571
16000,4,3.656975267,2240.102654
16000,5,3.736926007,2192.176132
18000,1,6.210645967,1878.065512
18000,2,6.112046239,1908.362526
18000,3,6.199885465,1881.325077
18000,4,6.184471111,1886.014146
18000,5,6.189808331,1884.387913
20000,1,7.728128991,2070.358818
20000,2,7.722513881,2071.864194
20000,3,7.727631857,2070.492008
20000,4,7.780930437,2056.309349
20000,5,7.828124971,2043.912183
