Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.68096123,234.961982
2000,2,0.26378317,606.558788
2000,3,0.25303221,632.330564
2000,4,0.25284396,632.801353
2000,5,0.25695173,622.685047
4000,1,0.70279811,1821.291181
4000,2,0.78888691,1622.539281
4000,3,0.77695122,1647.465075
4000,4,0.74768879,1711.942211
4000,5,0.74733559,1712.751296
6000,1,0.249549781,1731.117528
6000,2,0.255218038,1692.670328
6000,3,0.225866220,1912.636604
6000,4,0.240605732,1795.468447
6000,5,0.254923546,1694.625729
8000,1,0.804616529,1272.655934
8000,2,0.801105659,1278.233387
8000,3,0.787602893,1300.147586
8000,4,0.797719749,1283.658830
8000,5,0.805544337,1271.190117
10000,1,1.541614307,1297.341359
10000,2,1.534650960,1303.227934
10000,3,1.552186787,1288.504719
10000,4,1.545789885,1293.836905
10000,5,1.537724785,1300.622855
12000,1,2.605180037,1326.587779
12000,2,2.588580488,1335.094665
12000,3,2.603999789,1327.189048
12000,4,2.585688858,1336.587730
12000,5,2.622395504,1317.879014
14000,1,4.21092740,1364.803141
14000,2,4.59278920,1351.964255
14000,3,3.214204647,1707.420841
14000,4,3.218786929,1704.990147
14000,5,3.191647983,1719.487872
16000,1,5.201221771,1575.014556
16000,2,5.924573289,1382.715615
16000,3,6.167477564,1328.257771
16000,4,6.182407381,1325.050178
16000,5,6.146988955,1332.685004
18000,1,7.677665753,1519.211747
18000,2,7.601529879,1534.427962
18000,3,6.917587252,1686.137027
18000,4,6.878721058,1695.664049
18000,5,6.868851787,1698.100405
20000,1,12.126557358,1319.418160
20000,2,9.866794962,1621.600536
20000,3,12.114936738,1320.683743
20000,4,12.118065534,1320.342752
20000,5,9.943270464,1609.128511
