Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.30867925,518.337400
2000,2,0.28910988,553.422802
2000,3,0.30199189,529.815552
2000,4,0.30092768,531.689209
2000,5,0.29868306,535.684883
4000,1,0.76662118,1669.664279
4000,2,0.76593096,1671.168900
4000,3,0.75714858,1690.553260
4000,4,0.76483272,1673.568568
4000,5,0.72059623,1776.306823
6000,1,0.169940910,2542.060061
6000,2,0.165579828,2609.013460
6000,3,0.172260166,2507.834574
6000,4,0.170285156,2536.921069
6000,5,0.174904203,2469.923493
8000,1,0.468577459,2185.337729
8000,2,0.471857110,2170.148501
8000,3,0.473286895,2163.592550
8000,4,0.475693055,2152.648623
8000,5,0.466270047,2196.152222
10000,1,1.327274280,1506.847552
10000,2,1.333931841,1499.326981
10000,3,1.351095364,1480.280410
10000,4,1.389466444,1439.401440
10000,5,1.362126063,1468.292880
12000,1,2.722527298,1269.408759
12000,2,2.880889486,1199.629495
12000,3,2.840000552,1216.901172
12000,4,2.968253731,1164.320949
12000,5,2.861046179,1207.949744
14000,1,4.439992696,1236.038069
14000,2,4.421982115,1241.072410
14000,3,4.426372552,1239.841413
14000,4,4.344126446,1263.314977
14000,5,4.388749600,1250.470066
16000,1,6.349328730,1290.215131
16000,2,6.340388416,1292.034409
16000,3,6.322220479,1295.747282
16000,4,6.361515817,1287.743399
16000,5,6.369434113,1286.142514
18000,1,6.914415755,1686.910422
18000,2,7.540873736,1546.770362
18000,3,7.525965352,1549.834401
18000,4,6.154986574,1895.048813
18000,5,7.523087628,1550.427242
20000,1,12.39696911,1328.937108
20000,2,9.659327274,1656.430054
20000,3,8.867440482,1804.353808
20000,4,7.528694710,2125.202391
20000,5,12.1858482,1333.126867
