Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.26322739,607.839481
2000,2,0.26477037,604.297226
2000,3,0.26769358,597.698309
2000,4,0.26658883,600.175184
2000,5,0.26649496,600.386589
4000,1,0.181204547,706.384040
4000,2,0.181751824,704.257031
4000,3,0.180695601,708.373637
4000,4,0.181194117,706.424701
4000,5,0.180552590,708.934721
6000,1,0.589564149,732.744691
6000,2,0.594558489,726.589575
6000,3,0.592531339,729.075361
6000,4,0.603643702,715.653950
6000,5,0.593640070,727.713680
8000,1,1.386735234,738.425025
8000,2,1.390261896,736.551871
8000,3,1.384188114,739.783841
8000,4,1.398040061,732.453975
8000,5,1.386853114,738.362260
10000,1,2.703702999,739.726220
10000,2,2.691183347,743.167500
10000,3,2.695674482,741.929344
10000,4,2.687534948,744.176369
10000,5,2.685521356,744.734349
12000,1,4.704398557,734.631634
12000,2,4.790274955,721.461718
12000,3,4.725079057,731.416334
12000,4,4.742097297,728.791457
12000,5,4.722698717,731.784983
14000,1,7.242411018,757.758706
14000,2,7.340310605,747.652285
14000,3,7.415656369,740.055867
14000,4,7.454807522,736.169242
14000,5,7.428874565,738.739085
16000,1,11.79855057,739.359852
16000,2,11.73431739,739.788730
16000,3,11.40545104,741.992349
16000,4,11.102561444,737.847752
16000,5,10.961983108,747.310037
18000,1,15.749227266,740.607765
18000,2,15.732081834,741.414908
18000,3,15.758796711,740.158035
18000,4,15.592262422,748.063346
18000,5,15.645657736,745.510364
20000,1,21.347624523,749.497912
20000,2,21.365859267,748.858251
20000,3,21.419548218,746.981208
20000,4,21.434472631,746.461099
20000,5,21.283207249,751.766396
