Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.27880545,573.876874
2000,2,0.27376753,584.437460
2000,3,0.27052407,591.444599
2000,4,0.27637935,578.914452
2000,5,0.27120237,589.965346
4000,1,0.193885949,660.181930
4000,2,0.193013152,663.167244
4000,3,0.193252165,662.347043
4000,4,0.193591340,661.186601
4000,5,0.193514863,661.447901
6000,1,0.614429831,703.090863
6000,2,0.614490266,703.021714
6000,3,0.615135893,702.283845
6000,4,0.615140399,702.278700
6000,5,0.615228478,702.178159
8000,1,1.467953968,697.569558
8000,2,1.463697003,699.598344
8000,3,1.465922477,698.536257
8000,4,1.460496284,701.131534
8000,5,1.468912720,697.114257
10000,1,2.794110054,715.791419
10000,2,2.803849138,713.305139
10000,3,2.809682486,711.824204
10000,4,2.802499970,713.648536
10000,5,2.799576096,714.393869
12000,1,5.389172409,641.285848
12000,2,5.394162425,640.692609
12000,3,5.404721186,639.440941
12000,4,5.416568853,638.042291
12000,5,5.386277650,641.630496
14000,1,8.189251405,670.146724
14000,2,8.213019493,668.207351
14000,3,8.159155676,672.618616
14000,4,8.145059944,673.782641
14000,5,8.109851566,676.707823
16000,1,12.144008633,674.571325
16000,2,12.257888780,668.304318
16000,3,12.90889230,677.534948
16000,4,12.429913589,659.055265
16000,5,12.439490155,658.547890
18000,1,17.786951603,655.761609
18000,2,17.922680761,650.795501
18000,3,16.554465825,704.583290
18000,4,17.565287788,664.036943
18000,5,17.625922192,661.752609
20000,1,23.150064069,691.142796
20000,2,23.830548357,671.407127
20000,3,23.354706756,685.086744
20000,4,23.645571767,676.659467
20000,5,23.53863239,694.026846
