Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.27034615,591.833840
2000,2,0.28290586,565.559158
2000,3,0.27241186,587.345940
2000,4,0.27935010,572.757984
2000,5,0.27071285,591.032158
4000,1,0.168093200,761.482321
4000,2,0.168277954,760.646282
4000,3,0.171394444,746.815340
4000,4,0.168642739,759.000955
4000,5,0.170946905,748.770503
6000,1,0.554181224,779.528395
6000,2,0.550212402,785.151331
6000,3,0.553403220,780.624298
6000,4,0.552185033,782.346449
6000,5,0.551891084,782.763144
8000,1,1.456031839,703.281324
8000,2,1.453337513,704.585130
8000,3,1.368880618,748.056468
8000,4,1.454103907,704.213774
8000,5,1.476784928,693.398193
10000,1,2.667790111,749.684164
10000,2,2.641230709,757.222757
10000,3,2.639673501,757.669461
10000,4,2.634956304,759.025870
10000,5,2.628897764,760.775115
12000,1,4.637892291,745.166076
12000,2,4.652856746,742.769483
12000,3,4.546862090,760.084632
12000,4,4.656132642,742.246896
12000,5,4.581041554,754.413589
14000,1,7.388370405,742.788964
14000,2,7.920869424,692.853234
14000,3,7.782013213,705.215970
14000,4,7.781230359,705.286921
14000,5,7.941266739,691.073626
16000,1,11.211645250,730.668855
16000,2,11.642812487,703.610061
16000,3,11.323233371,723.468265
16000,4,13.349125919,613.673139
16000,5,11.558629423,708.734548
18000,1,17.341489024,672.606602
18000,2,17.207552757,677.841885
18000,3,15.282994618,763.201211
18000,4,18.127831866,643.430504
18000,5,15.984735717,729.696143
20000,1,24.191966106,661.376588
20000,2,22.560258309,709.211738
20000,3,21.879037946,731.293581
20000,4,22.617236439,707.425067
20000,5,23.818201562,671.755168
