Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.24293929,658.600756
2000,2,0.23375217,684.485624
2000,3,0.25009486,639.757251
2000,4,0.23524381,680.145420
2000,5,0.24118724,663.385012
4000,1,0.163033587,785.114297
4000,2,0.162385955,788.245511
4000,3,0.165128056,775.155980
4000,4,0.162221530,789.044463
4000,5,0.164445523,778.373273
6000,1,0.542449603,796.387347
6000,2,0.540069438,799.897142
6000,3,0.542535374,796.261443
6000,4,0.539304181,801.032173
6000,5,0.541336136,798.025425
8000,1,1.274119618,803.692201
8000,2,1.289531543,794.086818
8000,3,1.289197942,794.292301
8000,4,1.275099777,803.074409
8000,5,1.289249447,794.260569
10000,1,2.489447339,803.391166
10000,2,2.490884478,802.927642
10000,3,2.495314381,801.502214
10000,4,2.491891342,802.603214
10000,5,2.490277064,803.123487
12000,1,4.298080403,804.079886
12000,2,4.299397288,803.833600
12000,3,4.295870383,804.493547
12000,4,4.307164085,802.384105
12000,5,4.300776520,803.575816
14000,1,6.902837533,795.035371
14000,2,6.885950408,796.985118
14000,3,6.894883162,795.952574
14000,4,6.888807885,796.654529
14000,5,6.885455045,797.042456
16000,1,10.181793041,804.573415
16000,2,10.200290805,803.114358
16000,3,10.186649985,804.189799
16000,4,10.203240508,802.882182
16000,5,10.256820695,798.688038
18000,1,14.471207234,806.014302
18000,2,14.470934870,806.029473
18000,3,14.469647210,806.101201
18000,4,14.465196484,806.349227
18000,5,14.466460166,806.278790
20000,1,20.61814424,797.535042
20000,2,19.996600666,800.135996
20000,3,20.37400829,798.506759
20000,4,19.895025909,804.221119
20000,5,20.32613144,798.697598
