Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.14965332,1069.137658
2000,2,0.15187025,1053.530892
2000,3,0.15087274,1060.496416
2000,4,0.14685558,1089.505758
2000,5,0.15122114,1058.053127
4000,1,0.98245603,1302.857289
4000,2,0.97762039,1309.301661
4000,3,0.97937126,1306.960958
4000,4,0.97707964,1310.026274
4000,5,0.97939236,1306.932801
6000,1,0.315300382,1370.122032
6000,2,0.316642247,1364.315735
6000,3,0.319921208,1350.332486
6000,4,0.315813894,1367.894219
6000,5,0.318611853,1355.881760
8000,1,0.733679715,1395.704391
8000,2,0.744261046,1375.861340
8000,3,0.734701415,1393.763479
8000,4,0.738985369,1385.683727
8000,5,0.740554882,1382.746944
10000,1,1.433537698,1395.149917
10000,2,1.428359941,1400.207289
10000,3,1.430407820,1398.202647
10000,4,1.454947046,1374.620475
10000,5,1.454541412,1375.003821
12000,1,2.473991541,1396.932828
12000,2,2.437374887,1417.918933
12000,3,2.493869514,1385.798247
12000,4,2.467587011,1400.558515
12000,5,2.454655222,1407.937037
14000,1,3.867285133,1419.083365
14000,2,3.995620104,1373.503951
14000,3,3.887399752,1411.740585
14000,4,3.885246707,1412.522914
14000,5,3.891989523,1410.075738
16000,1,5.871394864,1395.239154
16000,2,5.884320717,1392.174287
16000,3,5.919183129,1383.974751
16000,4,5.934335352,1380.441029
16000,5,5.891697887,1390.431104
18000,1,8.345902766,1397.571998
18000,2,8.340721525,1398.440167
18000,3,8.803759166,1324.888582
18000,4,8.271367019,1410.165934
18000,5,8.367028675,1394.043268
20000,1,11.446418807,1397.817105
20000,2,11.430322469,1399.785530
20000,3,11.490593411,1392.443317
20000,4,11.253564402,1421.771754
20000,5,11.207698239,1427.590185
