Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.16258723,984.087127
2000,2,0.15304849,1045.420311
2000,3,0.15247416,1049.358134
2000,4,0.15338245,1043.144115
2000,5,0.15319312,1044.433327
4000,1,0.85751934,1492.677705
4000,2,0.85886338,1490.341805
4000,3,0.86368538,1482.021150
4000,4,0.85443367,1498.068305
4000,5,0.85477552,1497.469183
6000,1,0.278008621,1553.908647
6000,2,0.277256084,1558.126313
6000,3,0.277052486,1559.271336
6000,4,0.276647588,1561.553466
6000,5,0.276946080,1559.870427
8000,1,0.633564376,1616.252490
8000,2,0.633507628,1616.397269
8000,3,0.634390387,1614.148040
8000,4,0.633859797,1615.499208
8000,5,0.632885892,1617.985190
10000,1,1.243954229,1607.776197
10000,2,1.245777736,1605.422815
10000,3,1.244470196,1607.109601
10000,4,1.244777274,1606.713138
10000,5,1.246829634,1604.068387
12000,1,2.143586705,1612.251089
12000,2,2.142311803,1613.210549
12000,3,2.142290463,1613.226619
12000,4,2.142379499,1613.159574
12000,5,2.142019210,1613.430908
14000,1,3.358193134,1634.212144
14000,2,3.357302655,1634.645596
14000,3,3.360701854,1632.992226
14000,4,3.359919925,1633.372260
14000,5,3.360122978,1633.273555
16000,1,5.33350700,1627.544053
16000,2,5.38238959,1625.964959
16000,3,5.36092672,1626.657914
16000,4,5.37492475,1626.205903
16000,5,5.33766749,1627.409534
18000,1,7.144220020,1632.648486
18000,2,7.144961264,1632.479109
18000,3,7.145842046,1632.277893
18000,4,7.144129289,1632.669221
18000,5,7.148575144,1631.653828
20000,1,9.898298307,1616.439463
20000,2,9.889653049,1617.852509
20000,3,9.889449218,1617.885855
20000,4,9.889313983,1617.907979
20000,5,9.894925659,1616.990420
