Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.17762002,900.799358
2000,2,0.15122040,1058.058304
2000,3,0.15231794,1050.434374
2000,4,0.14908819,1073.190304
2000,5,0.14931880,1071.532855
4000,1,0.88190910,1451.396748
4000,2,0.88216849,1450.969984
4000,3,0.88141298,1452.213694
4000,4,0.87931502,1455.678535
4000,5,0.87984318,1454.804707
6000,1,0.287517017,1502.519762
6000,2,0.287152444,1504.427384
6000,3,0.287469981,1502.765605
6000,4,0.286710543,1506.746126
6000,5,0.286395550,1508.403325
8000,1,0.645943699,1585.277481
8000,2,0.644966721,1587.678816
8000,3,0.645052079,1587.468723
8000,4,0.645294300,1586.872842
8000,5,0.648528260,1578.959720
10000,1,1.324053812,1510.512626
10000,2,1.324131350,1510.424174
10000,3,1.313141524,1523.065080
10000,4,1.323457798,1511.192879
10000,5,1.320880543,1514.141465
12000,1,2.285665900,1512.032008
12000,2,2.285387968,1512.215890
12000,3,2.288805415,1509.957980
12000,4,2.296905494,1504.633085
12000,5,2.290084011,1509.114942
14000,1,3.675908736,1492.964160
14000,2,3.681072298,1490.869930
14000,3,3.663877036,1497.866862
14000,4,3.680173373,1491.234092
14000,5,3.677193579,1492.442506
16000,1,5.623577529,1456.723937
16000,2,5.581327446,1467.751190
16000,3,5.575543972,1469.273678
16000,4,5.572967041,1469.953068
16000,5,5.573155060,1469.903477
18000,1,7.530048719,1548.993962
18000,2,7.854760257,1484.959390
18000,3,8.334645476,1399.459645
18000,4,7.556702248,1543.530447
18000,5,7.839670057,1487.817716
20000,1,10.750714340,1488.273197
20000,2,10.739458611,1489.833015
20000,3,10.739226067,1489.865275
20000,4,10.756983539,1487.405827
20000,5,10.749720795,1488.410751
