Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.631660964,46.913490
1,10000,2,42.384529910,47.187028
1,10000,3,42.312803931,47.267016
1,10000,4,42.765478741,46.766693
1,10000,5,42.445633815,47.119098
2,10000,1,21.862369198,91.481394
2,10000,2,21.694619625,92.188756
2,10000,3,21.785111990,91.805817
2,10000,4,21.896370130,91.339340
2,10000,5,21.752354308,91.944071
4,10000,1,11.809923644,169.349105
4,10000,2,11.861658140,168.610491
4,10000,3,11.911344654,167.907156
4,10000,4,11.812845777,169.307213
4,10000,5,11.812635751,169.310224
16,10000,1,3.89339558,647.387560
16,10000,2,3.104859385,644.151555
16,10000,3,3.132759740,638.414742
16,10000,4,3.117674015,641.503887
16,10000,5,3.170435299,630.828202
32,10000,1,2.314989890,863.934658
32,10000,2,2.292677480,872.342498
32,10000,3,2.289585930,873.520392
32,10000,4,2.299313092,869.824996
32,10000,5,2.289916661,873.394230
48,10000,1,2.193507722,911.781609
48,10000,2,2.194861409,911.219265
48,10000,3,2.195917473,910.781040
48,10000,4,2.210175152,904.905658
48,10000,5,2.195150491,911.099265
64,10000,1,2.479813077,806.512401
64,10000,2,2.549624907,784.429111
64,10000,3,2.401159889,832.930789
64,10000,4,2.514667922,795.333643
64,10000,5,2.513189413,795.801538
80,10000,1,2.426242569,824.319887
80,10000,2,2.494367418,801.806496
80,10000,3,2.453638606,815.115965
80,10000,4,2.469808149,809.779497
80,10000,5,2.503813564,798.781518
96,10000,1,2.354903000,849.291882
96,10000,2,2.361557772,846.898612
96,10000,3,2.361249410,847.009211
96,10000,4,2.382587862,839.423398
96,10000,5,2.368123041,844.550712
112,10000,1,2.784113386,718.361547
112,10000,2,2.757578637,725.273968
112,10000,3,2.802667111,713.605976
112,10000,4,2.770904517,721.785968
112,10000,5,2.774007765,720.978515
128,10000,1,3.106627994,643.784838
128,10000,2,3.110379245,643.008406
128,10000,3,3.88949013,647.469412
128,10000,4,3.110195510,643.046392
128,10000,5,3.98497631,645.474110
