Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.526001960,47.030050
1,10000,2,42.693110465,46.845966
1,10000,3,42.563994526,46.988071
1,10000,4,42.804128615,46.724465
1,10000,5,42.818272188,46.709031
2,10000,1,23.256472588,85.997564
2,10000,2,23.78224030,86.661781
2,10000,3,23.123281618,86.492914
2,10000,4,23.60055211,86.730061
2,10000,5,23.172544364,86.309037
4,10000,1,11.455234657,174.592670
4,10000,2,11.550440498,173.153569
4,10000,3,11.470959095,174.353337
4,10000,4,11.553209019,173.112076
4,10000,5,11.767947569,169.953171
16,10000,1,2.870578131,696.723764
16,10000,2,2.866130829,697.804852
16,10000,3,2.855419299,700.422527
16,10000,4,2.862552493,698.677144
16,10000,5,2.863350017,698.482543
32,10000,1,2.628904505,760.773165
32,10000,2,2.625754039,761.685965
32,10000,3,2.626493404,761.471549
32,10000,4,2.624354984,762.092023
32,10000,5,2.622473492,762.638786
48,10000,1,2.285026648,875.263316
48,10000,2,2.286050682,874.871242
48,10000,3,2.287510764,874.312826
48,10000,4,2.282373700,876.280690
48,10000,5,2.287921514,874.155861
64,10000,1,2.522905532,792.736777
64,10000,2,2.517394746,794.472144
64,10000,3,2.527380628,791.333121
64,10000,4,2.526714671,791.541690
64,10000,5,2.525509947,791.919273
80,10000,1,2.649336364,754.906031
80,10000,2,2.665216507,750.408079
80,10000,3,2.649171464,754.953021
80,10000,4,2.661158862,751.552276
80,10000,5,2.657920901,752.467840
96,10000,1,2.535249109,788.877114
96,10000,2,2.529967971,790.523842
96,10000,3,2.525440450,791.941065
96,10000,4,2.517923782,794.305219
96,10000,5,2.529866425,790.555573
112,10000,1,2.963633296,674.847324
112,10000,2,2.927600617,683.153292
112,10000,3,2.940684110,680.113853
112,10000,4,2.949657521,678.044819
112,10000,5,2.959388520,675.815286
128,10000,1,3.109368083,643.217511
128,10000,2,3.89370632,647.381049
128,10000,3,3.123108123,640.387691
128,10000,4,3.183091775,628.319930
128,10000,5,3.119846280,641.057225
