Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,43.429897542,46.051225
1,10000,2,43.427227788,46.054056
1,10000,3,43.527695236,45.947758
1,10000,4,43.410282973,46.072033
1,10000,5,43.449148529,46.030821
2,10000,1,23.289715937,85.874813
2,10000,2,23.521681016,85.027937
2,10000,3,23.277985563,85.918087
2,10000,4,23.310548717,85.798066
2,10000,5,23.324054413,85.748385
4,10000,1,11.862162570,168.603321
4,10000,2,11.759271936,170.078557
4,10000,3,11.833677665,169.009167
4,10000,4,11.749162319,170.224902
4,10000,5,11.763289382,170.020471
16,10000,1,3.402432443,587.814757
16,10000,2,3.472878315,575.891183
16,10000,3,3.554770528,562.624221
16,10000,4,3.558382044,562.053196
16,10000,5,3.583667529,558.087485
32,10000,1,3.545909749,564.030148
32,10000,2,3.405588823,587.269957
32,10000,3,3.394839473,589.129476
32,10000,4,3.433773544,582.449592
32,10000,5,3.470496652,576.286394
48,10000,1,3.326319577,601.265138
48,10000,2,4.272670095,468.091370
48,10000,3,4.715099263,424.169225
48,10000,4,3.449624589,579.773233
48,10000,5,4.24709328,496.930297
64,10000,1,3.438755756,581.605715
64,10000,2,3.447205660,580.180064
64,10000,3,3.435706107,582.121968
64,10000,4,3.422863375,584.306115
64,10000,5,3.485899142,573.740065
80,10000,1,3.594304075,556.435949
80,10000,2,3.581009735,558.501693
80,10000,3,3.594291591,556.437882
80,10000,4,3.601757252,555.284507
80,10000,5,3.603785368,554.972007
96,10000,1,3.776592335,529.577943
96,10000,2,3.776998007,529.521063
96,10000,3,3.790324073,527.659367
96,10000,4,3.785063402,528.392734
96,10000,5,3.764931303,531.218192
112,10000,1,3.733947960,535.626104
112,10000,2,3.727759463,536.515304
112,10000,3,3.737995501,535.046123
112,10000,4,3.726022509,536.765410
112,10000,5,3.729315633,536.291426
128,10000,1,3.763297750,531.448781
128,10000,2,3.758434161,532.136500
128,10000,3,3.765206941,531.179303
128,10000,4,3.757763106,532.231528
128,10000,5,3.748239404,533.583847
