Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.452675514,47.111283
1,10000,2,42.933661912,46.583494
1,10000,3,42.991160324,46.521191
1,10000,4,42.380426776,47.191597
1,10000,5,42.851410699,46.672909
2,10000,1,21.891799855,91.358409
2,10000,2,22.73303282,90.607191
2,10000,3,21.956932956,91.087403
2,10000,4,21.789788674,91.786113
2,10000,5,21.776396036,91.842562
4,10000,1,10.968678981,182.337363
4,10000,2,10.980490658,182.141223
4,10000,3,10.947282678,182.693739
4,10000,4,10.831282549,184.650340
4,10000,5,10.979030575,182.165446
16,10000,1,3.162547860,632.401497
16,10000,2,3.162831843,632.344715
16,10000,3,3.156040337,633.705462
16,10000,4,3.166362188,631.639680
16,10000,5,3.168274475,631.258439
32,10000,1,2.253890585,887.354521
32,10000,2,2.267079400,882.192304
32,10000,3,2.237530317,893.842637
32,10000,4,2.257237160,886.038931
32,10000,5,2.229082842,897.230001
48,10000,1,2.238476226,893.464928
48,10000,2,2.226207386,898.388898
48,10000,3,2.237208260,893.971310
48,10000,4,2.234176512,895.184418
48,10000,5,2.233112505,895.610945
64,10000,1,2.508871500,797.171158
64,10000,2,2.450071464,816.302720
64,10000,3,2.519727769,793.736540
64,10000,4,2.523476426,792.557434
64,10000,5,2.436570796,820.825729
80,10000,1,2.542107032,786.748935
80,10000,2,2.537006483,788.330662
80,10000,3,2.525517352,791.916951
80,10000,4,2.498990803,800.323073
80,10000,5,2.577334816,775.995415
96,10000,1,2.867210186,697.542165
96,10000,2,2.870876889,696.651259
96,10000,3,2.896209745,690.557721
96,10000,4,2.892909229,691.345577
96,10000,5,2.890403509,691.944911
112,10000,1,3.100467234,645.064066
112,10000,2,3.134004433,638.161191
112,10000,3,3.123167072,640.375604
112,10000,4,3.127159714,639.557996
112,10000,5,3.103321165,644.470841
128,10000,1,3.326455328,601.240601
128,10000,2,3.319536889,602.493681
128,10000,3,3.308218775,604.554939
128,10000,4,3.343533180,598.169628
128,10000,5,3.312611830,603.753202
