Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.476589988,47.084759
1,10000,2,42.690542368,46.848784
1,10000,3,42.561394697,46.990941
1,10000,4,42.535534854,47.019510
1,10000,5,42.788663915,46.741352
2,10000,1,22.865407887,87.468372
2,10000,2,22.588653031,88.540029
2,10000,3,22.836478803,87.579176
2,10000,4,22.799684278,87.720513
2,10000,5,22.819514155,87.644285
4,10000,1,11.230067594,178.093318
4,10000,2,11.386332716,175.649180
4,10000,3,11.219823864,178.255918
4,10000,4,11.234010063,178.030818
4,10000,5,11.205955361,178.476527
16,10000,1,3.7421251,665.021569
16,10000,2,2.985706367,669.858236
16,10000,3,2.966867263,674.111722
16,10000,4,3.71056485,651.241685
16,10000,5,3.7990819,664.895646
32,10000,1,2.976027449,672.036812
32,10000,2,2.970895589,673.197674
32,10000,3,2.960788584,675.495714
32,10000,4,2.967980135,673.858958
32,10000,5,2.975190407,672.225884
48,10000,1,3.197093092,625.568272
48,10000,2,3.152209059,634.475684
48,10000,3,3.48230218,656.118422
48,10000,4,3.125859869,639.823947
48,10000,5,3.46553290,656.479572
64,10000,1,3.325490224,601.415089
64,10000,2,3.357949178,595.601629
64,10000,3,3.151318866,634.654913
64,10000,4,3.303123844,605.487440
64,10000,5,3.353398996,596.409793
80,10000,1,3.147770594,635.370317
80,10000,2,3.301957427,605.701328
80,10000,3,3.312298600,603.810297
80,10000,4,3.268929877,611.821016
80,10000,5,3.413416713,585.923187
96,10000,1,3.469473529,576.456336
96,10000,2,3.401312220,588.008354
96,10000,3,3.445879162,580.403405
96,10000,4,3.399206965,588.372529
96,10000,5,3.432386943,582.684888
112,10000,1,3.315416859,603.242393
112,10000,2,3.338815377,599.014852
112,10000,3,3.360584364,595.134591
112,10000,4,3.339399100,598.910145
112,10000,5,3.343435581,598.187090
128,10000,1,3.305629928,605.028404
128,10000,2,3.292412127,607.457366
128,10000,3,3.307255459,604.731030
128,10000,4,3.309288643,604.359491
128,10000,5,3.303331254,605.449422
