Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.742518944,96.420305
1,10000,2,20.684670466,96.689962
1,10000,3,20.737272083,96.444701
1,10000,4,20.659986868,96.805483
1,10000,5,20.643783323,96.881466
2,10000,1,10.510877715,190.279067
2,10000,2,10.506834558,190.352288
2,10000,3,10.595580916,188.757937
2,10000,4,10.565320548,189.298563
2,10000,5,10.581472189,189.009616
4,10000,1,5.493723142,364.051837
4,10000,2,5.452366385,366.813207
4,10000,3,5.488322731,364.410057
4,10000,4,5.483676137,364.718840
4,10000,5,5.475664407,365.252479
16,10000,1,1.506584795,1327.505764
16,10000,2,1.514342728,1320.704992
16,10000,3,1.513153254,1321.743184
16,10000,4,1.509943628,1324.552760
16,10000,5,1.513788235,1321.188759
32,10000,1,1.193064712,1676.355004
32,10000,2,1.181919514,1692.162602
32,10000,3,1.185305161,1687.329192
32,10000,4,1.187142558,1684.717633
32,10000,5,1.191003726,1679.255872
48,10000,1,1.156675621,1729.093242
48,10000,2,1.147497100,1742.923795
48,10000,3,1.153632622,1733.654165
48,10000,4,1.153502988,1733.848998
48,10000,5,1.150631601,1738.175797
64,10000,1,1.307514537,1529.619705
64,10000,2,1.307870286,1529.203638
64,10000,3,1.322198791,1512.631848
64,10000,4,1.339230588,1493.394803
64,10000,5,1.334810639,1498.339871
80,10000,1,1.402869620,1425.649235
80,10000,2,1.384024372,1445.061258
80,10000,3,1.384700539,1444.355616
80,10000,4,1.385146498,1443.890594
80,10000,5,1.394494433,1434.211534
96,10000,1,1.284735765,1556.740347
96,10000,2,1.285601696,1555.691787
96,10000,3,1.278696740,1564.092515
96,10000,4,1.288962614,1551.635384
96,10000,5,1.272923156,1571.186753
112,10000,1,1.685475101,1186.609045
112,10000,2,1.685266712,1186.755773
112,10000,3,1.687547103,1185.152104
112,10000,4,1.678482208,1191.552696
112,10000,5,1.663422284,1202.340512
128,10000,1,1.779056388,1124.191461
128,10000,2,1.742552539,1147.741578
128,10000,3,1.746855965,1144.914086
128,10000,4,1.751958565,1141.579510
128,10000,5,1.738374004,1150.500408
