Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.583119270,97.167002
1,10000,2,20.547140802,97.337144
1,10000,3,20.702854302,96.605037
1,10000,4,20.762248336,96.328681
1,10000,5,20.659467449,96.807917
2,10000,1,11.97416462,180.222127
2,10000,2,11.119639795,179.861941
2,10000,3,11.114123273,179.951216
2,10000,4,11.122001836,179.823743
2,10000,5,11.176947419,178.939734
4,10000,1,5.624363403,355.595799
4,10000,2,5.631192253,355.164574
4,10000,3,5.652403714,353.831768
4,10000,4,5.615814688,356.137108
4,10000,5,5.684339477,351.843870
16,10000,1,1.492329358,1340.186728
16,10000,2,1.486516481,1345.427397
16,10000,3,1.493858532,1338.814859
16,10000,4,1.489970652,1342.308318
16,10000,5,1.483051152,1348.571152
32,10000,1,1.212115983,1650.007118
32,10000,2,1.201143376,1665.080156
32,10000,3,1.188695890,1682.516123
32,10000,4,1.201750184,1664.239396
32,10000,5,1.193887258,1675.200055
48,10000,1,0.980126484,2040.552962
48,10000,2,0.997242269,2005.530714
48,10000,3,0.984318370,2031.862923
48,10000,4,0.995795119,2008.445273
48,10000,5,0.995136989,2009.773551
64,10000,1,1.113982231,1795.360774
64,10000,2,1.91653647,1832.082919
64,10000,3,1.87833377,1838.516856
64,10000,4,1.75051556,1860.375894
64,10000,5,1.77878013,1855.497539
80,10000,1,1.258165139,1589.616449
80,10000,2,1.266126738,1579.620697
80,10000,3,1.244064593,1607.633568
80,10000,4,1.279915186,1562.603540
80,10000,5,1.243558917,1608.287290
96,10000,1,1.270568928,1574.097993
96,10000,2,1.278916682,1563.823530
96,10000,3,1.279090970,1563.610444
96,10000,4,1.297323829,1541.635138
96,10000,5,1.278363346,1564.500426
112,10000,1,1.780296590,1123.408319
112,10000,2,1.748299348,1143.968853
112,10000,3,1.738161322,1150.641183
112,10000,4,1.747416487,1144.546829
112,10000,5,1.756449891,1138.660437
128,10000,1,1.793463707,1115.160565
128,10000,2,1.797822643,1112.456786
128,10000,3,1.760422688,1136.090789
128,10000,4,1.758651100,1137.235237
128,10000,5,1.772479356,1128.362930
