Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.503266505,97.545433
1,10000,2,20.517227379,97.479058
1,10000,3,20.510429066,97.511368
1,10000,4,20.483704045,97.638591
1,10000,5,20.519275268,97.469329
2,10000,1,10.506408759,190.360003
2,10000,2,10.486102680,190.728630
2,10000,3,10.470146987,191.019286
2,10000,4,10.485100750,190.746856
2,10000,5,10.484845161,190.751506
4,10000,1,5.404264866,370.078086
4,10000,2,5.415253195,369.327145
4,10000,3,5.405349720,370.003812
4,10000,4,5.400077929,370.365026
4,10000,5,5.394040145,370.779591
16,10000,1,1.520035932,1315.758370
16,10000,2,1.519417994,1316.293481
16,10000,3,1.518920031,1316.725015
16,10000,4,1.518061341,1317.469819
16,10000,5,1.520138695,1315.669423
32,10000,1,1.198744260,1668.412577
32,10000,2,1.197570391,1670.047970
32,10000,3,1.197223779,1670.531470
32,10000,4,1.194421818,1674.450324
32,10000,5,1.192904373,1676.580324
48,10000,1,1.168870754,1711.053162
48,10000,2,1.152463306,1735.413171
48,10000,3,1.151979587,1736.141875
48,10000,4,1.153620264,1733.672737
48,10000,5,1.163990277,1718.227411
64,10000,1,1.319446953,1515.786592
64,10000,2,1.316175021,1519.554746
64,10000,3,1.336483762,1496.464122
64,10000,4,1.337024231,1495.859203
64,10000,5,1.324487762,1510.017727
80,10000,1,1.409874729,1418.565748
80,10000,2,1.405558527,1422.921893
80,10000,3,1.416802826,1411.629031
80,10000,4,1.399496619,1429.085267
80,10000,5,1.423802581,1404.689124
96,10000,1,1.335757379,1497.277898
96,10000,2,1.323778682,1510.826566
96,10000,3,1.318571017,1516.793540
96,10000,4,1.317427575,1518.110018
96,10000,5,1.338576784,1494.124225
112,10000,1,1.753579391,1140.524353
112,10000,2,1.717173097,1164.704946
112,10000,3,1.719594617,1163.064818
112,10000,4,1.719210476,1163.324693
112,10000,5,1.717889117,1164.219495
128,10000,1,1.815142081,1101.842121
128,10000,2,1.770739372,1129.471695
128,10000,3,1.780590430,1123.222930
128,10000,4,1.784824353,1120.558444
128,10000,5,1.797536811,1112.633682
