Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.848841445,95.928592
1,10000,2,20.775589888,96.266821
1,10000,3,20.806364115,96.124435
1,10000,4,20.789716116,96.201410
1,10000,5,20.772966668,96.278978
2,10000,1,11.249606421,177.783998
2,10000,2,11.188099160,178.761376
2,10000,3,11.246481862,177.833390
2,10000,4,11.243289947,177.883876
2,10000,5,11.246800714,177.828349
4,10000,1,5.644683665,354.315692
4,10000,2,5.639368911,354.649613
4,10000,3,5.620718311,355.826407
4,10000,4,5.642623949,354.445027
4,10000,5,5.624472409,355.588908
16,10000,1,1.489988705,1342.292054
16,10000,2,1.484851847,1346.935726
16,10000,3,1.472700155,1358.049697
16,10000,4,1.493658626,1338.994041
16,10000,5,1.481935395,1349.586498
32,10000,1,1.220507226,1638.662973
32,10000,2,1.223278311,1634.950920
32,10000,3,1.227569799,1629.235259
32,10000,4,1.216261903,1644.382674
32,10000,5,1.236630953,1617.297380
48,10000,1,1.6857863,1986.377694
48,10000,2,1.10067356,1980.065971
48,10000,3,1.7246700,1985.610874
48,10000,4,1.17442755,1965.712557
48,10000,5,1.21067957,1958.733487
64,10000,1,1.170282506,1708.989060
64,10000,2,1.164367710,1717.670443
64,10000,3,1.164631273,1717.281724
64,10000,4,1.172999099,1705.031148
64,10000,5,1.169825439,1709.656786
80,10000,1,1.380886984,1448.344450
80,10000,2,1.383806388,1445.288891
80,10000,3,1.398229420,1430.380431
80,10000,4,1.349429059,1482.108294
80,10000,5,1.312056286,1524.324849
96,10000,1,1.310634074,1525.978944
96,10000,2,1.298665930,1540.041941
96,10000,3,1.314214954,1521.821064
96,10000,4,1.266646952,1578.971944
96,10000,5,1.294278788,1545.262133
112,10000,1,1.792657263,1115.662230
112,10000,2,1.779375822,1123.989646
112,10000,3,1.752112933,1141.478932
112,10000,4,1.742835613,1147.555160
112,10000,5,1.777177726,1125.379848
128,10000,1,1.842468363,1085.500321
128,10000,2,1.849161226,1081.571456
128,10000,3,1.825766659,1095.430235
128,10000,4,1.837612605,1088.368677
128,10000,5,1.821352992,1098.084780
