Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,32.885352446,60.817350
1,10000,2,32.645219250,61.264713
1,10000,3,32.235743026,62.042932
1,10000,4,31.292723333,63.912622
1,10000,5,32.73815847,62.356160
2,10000,1,16.971071042,117.847600
2,10000,2,16.831488960,118.824900
2,10000,3,16.732387889,119.528666
2,10000,4,16.822053940,118.891546
2,10000,5,16.629306595,120.269597
4,10000,1,11.173978980,178.987271
4,10000,2,11.44920340,181.078717
4,10000,3,11.165714446,179.119752
4,10000,4,11.126540730,179.750387
4,10000,5,11.218148636,178.282537
16,10000,1,2.697673551,741.379549
16,10000,2,2.680208055,746.210727
16,10000,3,2.672379537,748.396690
16,10000,4,2.717260398,736.035457
16,10000,5,2.653300464,753.778182
32,10000,1,1.698317385,1177.636181
32,10000,2,1.623716685,1231.741977
32,10000,3,1.665712594,1200.687326
32,10000,4,1.631605017,1225.786866
32,10000,5,1.654534237,1208.799404
48,10000,1,1.513254718,1321.654561
48,10000,2,1.509333281,1325.088385
48,10000,3,1.512271092,1322.514204
48,10000,4,1.514902286,1320.217164
48,10000,5,1.516763285,1318.597318
64,10000,1,1.557123989,1284.419233
64,10000,2,1.573308032,1271.206883
64,10000,3,1.574982812,1269.855128
64,10000,4,1.562560897,1279.950115
64,10000,5,1.558641051,1283.169078
80,10000,1,1.509941794,1324.554369
80,10000,2,1.509334474,1325.087338
80,10000,3,1.498100609,1335.023821
80,10000,4,1.500991586,1332.452506
80,10000,5,1.507823913,1326.414831
96,10000,1,1.438249518,1390.579294
96,10000,2,1.411683003,1416.748658
96,10000,3,1.425758575,1402.762035
96,10000,4,1.427104582,1401.438987
96,10000,5,1.422117741,1406.353315
112,10000,1,1.402587553,1425.935939
112,10000,2,1.368671869,1461.270627
112,10000,3,1.403817307,1424.686809
112,10000,4,1.370697227,1459.111437
112,10000,5,1.355873034,1475.064368
128,10000,1,1.269188570,1575.809968
128,10000,2,1.279588667,1563.002277
128,10000,3,1.310808624,1525.775741
128,10000,4,1.297315856,1541.644612
128,10000,5,1.241259945,1611.266043
