Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.643100734,96.884670
1,10000,2,21.69122181,94.925644
1,10000,3,20.628623472,96.952664
1,10000,4,20.590906318,97.130256
1,10000,5,20.386607967,98.103618
2,10000,1,10.545817512,189.648645
2,10000,2,10.710859603,186.726376
2,10000,3,10.568447331,189.242557
2,10000,4,10.580656670,189.024185
2,10000,5,10.591068507,188.838359
4,10000,1,5.252961099,380.737638
4,10000,2,5.237122866,381.889074
4,10000,3,5.285975325,378.359693
4,10000,4,5.268632669,379.605132
4,10000,5,5.290901969,378.007382
16,10000,1,1.519067439,1316.597242
16,10000,2,1.517679862,1317.800974
16,10000,3,1.520309884,1315.521277
16,10000,4,1.518176434,1317.369941
16,10000,5,1.520600928,1315.269485
32,10000,1,0.948784025,2107.961293
32,10000,2,0.940037093,2127.575619
32,10000,3,0.937798825,2132.653557
32,10000,4,0.949667179,2106.000970
32,10000,5,0.950408595,2104.358073
48,10000,1,0.976540991,2048.045109
48,10000,2,0.975993714,2049.193526
48,10000,3,0.967681464,2066.795815
48,10000,4,0.981511714,2037.673083
48,10000,5,0.986689318,2026.980493
64,10000,1,1.100003165,1818.176587
64,10000,2,1.98918098,1819.971847
64,10000,3,1.100645460,1817.115568
64,10000,4,1.100570340,1817.239596
64,10000,5,1.104849329,1810.201579
80,10000,1,1.245764292,1605.440141
80,10000,2,1.250889873,1598.861773
80,10000,3,1.219948548,1639.413403
80,10000,4,1.247242746,1603.537087
80,10000,5,1.244127884,1607.551784
96,10000,1,1.447916038,1381.295564
96,10000,2,1.414275995,1414.151133
96,10000,3,1.404863386,1423.625970
96,10000,4,1.423187783,1405.295931
96,10000,5,1.412140290,1416.289879
112,10000,1,1.579733780,1266.036104
112,10000,2,1.538081554,1300.321166
112,10000,3,1.541758448,1297.220069
112,10000,4,1.550261295,1290.105098
112,10000,5,1.549804940,1290.484982
128,10000,1,1.658374852,1205.999957
128,10000,2,1.647397281,1214.036240
128,10000,3,1.646136472,1214.966094
128,10000,4,1.669299228,1198.107545
128,10000,5,1.684631984,1187.202914
