Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.235413993,66.147598
1,10000,2,30.255156383,66.104434
1,10000,3,30.265689712,66.081428
1,10000,4,30.337413043,65.925199
1,10000,5,30.242438004,66.132234
2,10000,1,17.530849191,114.084605
2,10000,2,17.553849619,113.935122
2,10000,3,17.209086976,116.217671
2,10000,4,17.518561079,114.164628
2,10000,5,17.588260296,113.712213
4,10000,1,8.433201190,237.157866
4,10000,2,8.578768173,233.133704
4,10000,3,8.423783579,237.423004
4,10000,4,8.428496283,237.290251
4,10000,5,8.356507653,239.334430
6,10000,1,5.918235616,337.938556
6,10000,2,5.788048978,345.539578
6,10000,3,5.938592945,336.780112
6,10000,4,5.941224911,336.630919
6,10000,5,5.959538414,335.596461
8,10000,1,4.150543718,481.864579
8,10000,2,4.162756195,480.450910
8,10000,3,4.160996092,480.654140
8,10000,4,4.188090882,477.544556
8,10000,5,4.163136003,480.407077
10,10000,1,3.591891688,556.809663
10,10000,2,3.607958288,554.330134
10,10000,3,3.590470501,557.030060
10,10000,4,3.601625831,555.304769
10,10000,5,3.602978802,555.096244
12,10000,1,2.827419151,707.358864
12,10000,2,2.828053594,707.200176
12,10000,3,2.825306086,707.887903
12,10000,4,2.827162033,707.423196
12,10000,5,2.824678761,708.045116
14,10000,1,2.702651660,740.013976
14,10000,2,2.698314402,741.203471
14,10000,3,2.701698098,740.275163
14,10000,4,2.758888298,724.929676
14,10000,5,2.751860384,726.781058
16,10000,1,2.205518448,906.816264
16,10000,2,2.200029084,909.078891
16,10000,3,2.200563541,908.858101
16,10000,4,2.204905814,907.068224
16,10000,5,2.200982023,908.685296
18,10000,1,2.18443437,990.862545
18,10000,2,2.22841319,988.708299
18,10000,3,2.20058515,990.070330
18,10000,4,2.27490289,986.441223
18,10000,5,2.31322484,984.580250
20,10000,1,1.806894532,1106.871466
20,10000,2,1.809593034,1105.220877
20,10000,3,1.808400920,1105.949448
20,10000,4,1.809988983,1104.979101
20,10000,5,1.811312058,1104.171968
22,10000,1,1.936951094,1032.550593
22,10000,2,1.929874861,1036.336625
22,10000,3,1.930222894,1036.149766
22,10000,4,1.923811700,1039.602784
22,10000,5,1.935678999,1033.229167
24,10000,1,1.652269752,1210.456100
24,10000,2,1.655774039,1207.894286
24,10000,3,1.660370378,1204.550519
24,10000,4,1.666083580,1200.419969
24,10000,5,1.653372039,1209.649101
