Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.275416317,66.060198
1,10000,2,30.393605184,65.803316
1,10000,3,30.395567181,65.799068
1,10000,4,30.252996203,66.109154
1,10000,5,30.534812071,65.499011
2,10000,1,17.788786358,112.430379
2,10000,2,18.105381800,110.464392
2,10000,3,18.2289721,111.096979
2,10000,4,17.913384742,111.648358
2,10000,5,17.883881721,111.832545
4,10000,1,9.25320303,221.598784
4,10000,2,8.970523045,222.952440
4,10000,3,8.985148665,222.589528
4,10000,4,8.996172577,222.316767
4,10000,5,9.101823895,219.736178
6,10000,1,6.106609592,327.513978
6,10000,2,6.124924530,326.534636
6,10000,3,6.107757012,327.452450
6,10000,4,6.122557674,326.660867
6,10000,5,6.122430750,326.667639
8,10000,1,4.271756565,468.191473
8,10000,2,4.274548470,467.885676
8,10000,3,4.275736283,467.755696
8,10000,4,4.320578827,462.900940
8,10000,5,4.285958501,466.640076
10,10000,1,3.508773095,569.999811
10,10000,2,3.495396143,572.181212
10,10000,3,3.507393570,570.224003
10,10000,4,3.512627093,569.374416
10,10000,5,3.506719094,570.333678
12,10000,1,2.825670994,707.796486
12,10000,2,2.815459570,710.363601
12,10000,3,2.810838529,711.531445
12,10000,4,2.803674392,713.349598
12,10000,5,2.812286974,711.164977
14,10000,1,2.571665751,777.706045
14,10000,2,2.583441221,774.161217
14,10000,3,2.577756033,775.868614
14,10000,4,2.574364450,776.890778
14,10000,5,2.572876701,777.340010
16,10000,1,2.158125829,926.730023
16,10000,2,2.153239384,928.833094
16,10000,3,2.159636985,926.081566
16,10000,4,2.156218368,927.549839
16,10000,5,2.152499788,929.152240
18,10000,1,1.984224147,1007.950641
18,10000,2,1.978728020,1010.750330
18,10000,3,1.978457774,1010.888393
18,10000,4,1.976742289,1011.765677
18,10000,5,1.981095113,1009.542645
20,10000,1,1.760168996,1136.254533
20,10000,2,1.764245037,1133.629376
20,10000,3,1.766586231,1132.127017
20,10000,4,1.763079030,1134.379098
20,10000,5,1.762282971,1134.891520
22,10000,1,1.696498320,1178.898898
22,10000,2,1.696717756,1178.746431
22,10000,3,1.697260776,1178.369304
22,10000,4,1.689716964,1183.630183
22,10000,5,1.692914404,1181.394638
24,10000,1,1.620299556,1234.339658
24,10000,2,1.619752565,1234.756495
24,10000,3,1.632999095,1224.740422
24,10000,4,1.631631297,1225.767123
24,10000,5,1.638375041,1220.721721
