Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.409164200,65.769647
1,10000,2,30.283542548,66.042472
1,10000,3,30.409269680,65.769419
1,10000,4,30.296142236,66.015006
1,10000,5,30.418382394,65.749716
2,10000,1,16.177070871,123.631776
2,10000,2,16.284081633,122.819330
2,10000,3,16.172239314,123.668712
2,10000,4,16.283502110,122.823701
2,10000,5,16.334195604,122.442516
4,10000,1,7.917159721,252.615846
4,10000,2,7.895267292,253.316313
4,10000,3,7.903717064,253.045495
4,10000,4,7.891313458,253.443234
4,10000,5,7.896592850,253.273790
6,10000,1,5.320314810,375.917605
6,10000,2,5.297505033,377.536215
6,10000,3,5.296780776,377.587838
6,10000,4,5.300039384,377.355686
6,10000,5,5.297541482,377.533618
8,10000,1,4.260322501,469.448029
8,10000,2,4.406145082,453.911517
8,10000,3,4.269269947,468.464169
8,10000,4,4.265953547,468.828359
8,10000,5,4.277372583,467.576757
10,10000,1,3.448053095,580.037472
10,10000,2,3.449207253,579.843382
10,10000,3,3.457062438,578.525854
10,10000,4,3.445353961,580.491881
10,10000,5,3.454459952,578.961698
12,10000,1,2.683753724,745.224863
12,10000,2,2.669725810,749.140602
12,10000,3,2.668715626,749.424173
12,10000,4,2.678445176,746.701862
12,10000,5,2.674531817,747.794432
14,10000,1,2.379166107,840.630671
14,10000,2,2.374510163,842.278981
14,10000,3,2.371517342,843.341925
14,10000,4,2.373965217,842.472327
14,10000,5,2.379275024,840.592189
16,10000,1,2.150885604,929.849545
16,10000,2,2.140117532,934.528114
16,10000,3,2.133716503,937.331645
16,10000,4,2.149058558,930.640067
16,10000,5,2.136852551,935.956016
18,10000,1,1.934765272,1033.717128
18,10000,2,1.942880552,1029.399362
18,10000,3,1.949393357,1025.960201
18,10000,4,1.945310627,1028.113440
18,10000,5,1.952762925,1024.189867
20,10000,1,1.795234126,1114.060819
20,10000,2,1.802182396,1109.765584
20,10000,3,1.786813123,1119.311233
20,10000,4,1.791410582,1116.438643
20,10000,5,1.793219805,1115.312241
22,10000,1,1.659242124,1205.369591
22,10000,2,1.659347000,1205.293408
22,10000,3,1.655353424,1208.201204
22,10000,4,1.657199782,1206.855095
22,10000,5,1.656637190,1207.264941
24,10000,1,1.623081502,1232.224012
24,10000,2,1.622131336,1232.945789
24,10000,3,1.614237565,1238.975008
24,10000,4,1.628827412,1227.877174
24,10000,5,1.617733671,1236.297442
