Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.475883079,67.852081
1,10000,2,29.466616527,67.873419
1,10000,3,29.472213922,67.860528
1,10000,4,29.472117122,67.860751
1,10000,5,29.482877077,67.835985
2,10000,1,16.872471005,118.536283
2,10000,2,16.738208628,119.487100
2,10000,3,16.607536948,120.427250
2,10000,4,16.720802952,119.611481
2,10000,5,17.69203551,117.170083
4,10000,1,7.817339219,255.841527
4,10000,2,7.834010045,255.297094
4,10000,3,7.876937255,253.905793
4,10000,4,7.851548873,254.726810
4,10000,5,7.905314265,252.994370
6,10000,1,5.82046854,393.542220
6,10000,2,5.90141478,392.916387
6,10000,3,5.88494151,393.043588
6,10000,4,5.88636060,393.032627
6,10000,5,5.89625736,392.956202
8,10000,1,3.778972804,529.244349
8,10000,2,3.779365088,529.189415
8,10000,3,3.780105450,529.085769
8,10000,4,3.795176395,526.984728
8,10000,5,3.780425733,529.040944
10,10000,1,3.10252464,664.396101
10,10000,2,3.7299037,665.048595
10,10000,3,3.18050966,662.679333
10,10000,4,2.998174706,667.072534
10,10000,5,2.999947586,666.678314
12,10000,1,2.518625716,794.083848
12,10000,2,2.514750803,795.307431
12,10000,3,2.503872159,798.762825
12,10000,4,2.505073894,798.379643
12,10000,5,2.515063826,795.208447
14,10000,1,2.167220454,922.841050
14,10000,2,2.164413149,924.038001
14,10000,3,2.153322568,928.797213
14,10000,4,2.154225499,928.407913
14,10000,5,2.162579138,924.821647
16,10000,1,1.888402334,1059.096340
16,10000,2,1.885565278,1060.689876
16,10000,3,1.879115451,1064.330560
16,10000,4,1.895662466,1055.040143
16,10000,5,1.884295449,1061.404676
18,10000,1,1.678173011,1191.772235
18,10000,2,1.666386215,1200.201959
18,10000,3,1.674694058,1194.247982
18,10000,4,1.669766802,1197.772047
18,10000,5,1.665888344,1200.560654
20,10000,1,1.513917025,1321.076365
20,10000,2,1.522530323,1313.602737
20,10000,3,1.533643372,1304.084141
20,10000,4,1.519087971,1316.579446
20,10000,5,1.524844497,1311.609154
22,10000,1,1.388843468,1440.047094
22,10000,2,1.398106181,1430.506515
22,10000,3,1.389260282,1439.615043
22,10000,4,1.384560240,1444.501974
22,10000,5,1.394575161,1434.128512
24,10000,1,1.273900724,1569.981053
24,10000,2,1.282580621,1559.356166
24,10000,3,1.280470687,1561.925642
24,10000,4,1.292967222,1546.829623
24,10000,5,1.287179123,1553.785300
