Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.516115986,67.759593
1,10000,2,29.501368251,67.793466
1,10000,3,29.627543767,67.504752
1,10000,4,29.508147930,67.777890
1,10000,5,29.629231657,67.500907
2,10000,1,15.720129334,127.225416
2,10000,2,15.702988522,127.364291
2,10000,3,15.713452153,127.279479
2,10000,4,15.705044814,127.347615
2,10000,5,15.720273750,127.224248
4,10000,1,7.458412645,268.153573
4,10000,2,7.457385757,268.190498
4,10000,3,7.459903736,268.099974
4,10000,4,7.431134474,269.137910
4,10000,5,7.459855991,268.101690
6,10000,1,4.899847790,408.175945
6,10000,2,4.899258835,408.225013
6,10000,3,4.899439460,408.209963
6,10000,4,4.898333663,408.302116
6,10000,5,4.899177889,408.231758
8,10000,1,3.766382451,531.013519
8,10000,2,3.775385260,529.747261
8,10000,3,3.774094023,529.928504
8,10000,4,3.774469962,529.875723
8,10000,5,3.785530372,528.327553
10,10000,1,2.960985395,675.450816
10,10000,2,2.960087764,675.655642
10,10000,3,2.962227730,675.167537
10,10000,4,2.961963213,675.227832
10,10000,5,2.961085632,675.427951
12,10000,1,2.450735202,816.081639
12,10000,2,2.449438888,816.513533
12,10000,3,2.449760605,816.406304
12,10000,4,2.452479048,815.501360
12,10000,5,2.446644291,817.446168
14,10000,1,2.121366639,942.788466
14,10000,2,2.124797552,941.266145
14,10000,3,2.120899088,942.996303
14,10000,4,2.120555813,943.148955
14,10000,5,2.124942126,941.202104
16,10000,1,1.869728828,1069.673832
16,10000,2,1.867088363,1071.186581
16,10000,3,1.873785211,1067.358195
16,10000,4,1.869564011,1069.768132
16,10000,5,1.867955416,1070.689366
18,10000,1,1.672387645,1195.894986
18,10000,2,1.667714659,1199.245920
18,10000,3,1.667924245,1199.095226
18,10000,4,1.668751360,1198.500896
18,10000,5,1.670916605,1196.947827
20,10000,1,1.521207403,1314.745114
20,10000,2,1.519337453,1316.363258
20,10000,3,1.519176355,1316.502849
20,10000,4,1.510354198,1324.192698
20,10000,5,1.517438746,1318.010368
22,10000,1,1.393257018,1435.485323
22,10000,2,1.402080543,1426.451576
22,10000,3,1.380469267,1448.782706
22,10000,4,1.380631370,1448.612601
22,10000,5,1.392354885,1436.415401
24,10000,1,1.274039115,1569.810516
24,10000,2,1.287400976,1553.517542
24,10000,3,1.285159940,1556.226535
24,10000,4,1.294158667,1545.405560
24,10000,5,1.272621533,1571.559138
