Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,28.644449812,69.821554
1,10000,2,28.648186770,69.812446
1,10000,3,28.637427785,69.838675
1,10000,4,28.637623930,69.838196
1,10000,5,28.649361379,69.809584
2,10000,1,16.199710682,123.458995
2,10000,2,16.116069600,124.099737
2,10000,3,16.180388755,123.606424
2,10000,4,16.138697664,123.925737
2,10000,5,16.162778305,123.741102
4,10000,1,7.865859300,254.263384
4,10000,2,8.110824047,246.584069
4,10000,3,8.265369732,241.973446
4,10000,4,8.405073716,237.951512
4,10000,5,7.854000588,254.647294
6,10000,1,5.197277946,384.816825
6,10000,2,5.569995332,359.066728
6,10000,3,5.153101970,388.115743
6,10000,4,5.286343875,378.333315
6,10000,5,5.481308904,364.876353
8,10000,1,3.811229207,524.765080
8,10000,2,3.838536354,521.031929
8,10000,3,3.870674331,516.705832
8,10000,4,3.825005098,522.875120
8,10000,5,4.98066024,488.035085
10,10000,1,3.74994732,650.407618
10,10000,2,3.69997839,651.466257
10,10000,3,3.54011835,654.876310
10,10000,4,3.72493229,650.937155
10,10000,5,3.66182578,652.276878
12,10000,1,2.593206367,771.245985
12,10000,2,2.602378620,768.527679
12,10000,3,2.560425547,781.120155
12,10000,4,2.569185117,778.456946
12,10000,5,2.569483953,778.366410
14,10000,1,2.187450621,914.306353
14,10000,2,2.187632925,914.230160
14,10000,3,2.181536152,916.785174
14,10000,4,2.194687972,911.291275
14,10000,5,2.206600347,906.371651
16,10000,1,1.954005717,1023.538459
16,10000,2,1.954839505,1023.101894
16,10000,3,1.964881363,1017.873159
16,10000,4,1.954243237,1023.414057
16,10000,5,1.938587927,1031.678766
18,10000,1,1.757064371,1138.262225
18,10000,2,1.742670529,1147.663868
18,10000,3,1.753974470,1140.267452
18,10000,4,1.735895122,1152.143338
18,10000,5,1.730520491,1155.721652
20,10000,1,1.574552916,1270.201833
20,10000,2,1.579313374,1266.373117
20,10000,3,1.575167736,1269.706047
20,10000,4,1.579214732,1266.452218
20,10000,5,1.578848341,1266.746114
22,10000,1,1.463282250,1366.790310
22,10000,2,1.459042820,1370.761689
22,10000,3,1.498112898,1335.012870
22,10000,4,1.457303825,1372.397413
22,10000,5,1.477154106,1353.954873
24,10000,1,1.433578075,1395.110622
24,10000,2,1.418817877,1409.624190
24,10000,3,1.410589628,1417.846807
24,10000,4,1.424889982,1403.617139
24,10000,5,1.419385593,1409.060378
