Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.682027060,127.534533
1,10000,2,15.695586379,127.424357
1,10000,3,15.781972294,126.726873
1,10000,4,15.672794685,127.609660
1,10000,5,15.688362311,127.483032
2,10000,1,8.213797052,243.492746
2,10000,2,8.226010621,243.131220
2,10000,3,8.316420933,240.488068
2,10000,4,8.290782400,241.231756
2,10000,5,8.297414271,241.038947
4,10000,1,4.129277262,484.346260
4,10000,2,4.128195101,484.473226
4,10000,3,4.118275936,485.640115
4,10000,4,4.128019375,484.493850
4,10000,5,4.113767859,486.172304
6,10000,1,2.765918750,723.087039
6,10000,2,2.768882906,722.312957
6,10000,3,2.769411421,722.175111
6,10000,4,2.757142648,725.388656
6,10000,5,2.771485076,721.634772
8,10000,1,2.270833578,880.733850
8,10000,2,2.319369844,862.303183
8,10000,3,2.329162650,858.677688
8,10000,4,2.302852803,868.487989
8,10000,5,2.327806359,859.177995
10,10000,1,1.796984961,1112.975369
10,10000,2,1.804376382,1108.416193
10,10000,3,1.807030629,1106.788102
10,10000,4,1.844234600,1084.460730
10,10000,5,1.806819940,1106.917162
12,10000,1,1.445531793,1383.573858
12,10000,2,1.466292924,1363.983940
12,10000,3,1.447989072,1381.225894
12,10000,4,1.451264984,1378.108080
12,10000,5,1.451409741,1377.970633
14,10000,1,1.238718329,1614.572057
14,10000,2,1.231834633,1623.594553
14,10000,3,1.241886991,1610.452492
14,10000,4,1.233530020,1621.363054
14,10000,5,1.264573550,1581.560835
16,10000,1,1.169526094,1710.094379
16,10000,2,1.165193610,1716.452942
16,10000,3,1.146810723,1743.966951
16,10000,4,1.159556843,1724.796858
16,10000,5,1.167759281,1712.681742
18,10000,1,1.86206353,1841.270763
18,10000,2,1.88247170,1837.817782
18,10000,3,1.75882500,1858.939057
18,10000,4,1.79457939,1852.781778
18,10000,5,1.104795046,1810.290522
20,10000,1,0.953306448,2097.961263
20,10000,2,0.959259547,2084.941460
20,10000,3,0.956317237,2091.356218
20,10000,4,0.957517790,2088.734038
20,10000,5,0.951698389,2101.506132
22,10000,1,0.890553621,2245.794024
22,10000,2,0.889682719,2247.992410
22,10000,3,0.892537593,2240.801974
22,10000,4,0.887998204,2252.256807
22,10000,5,0.887594386,2253.281489
24,10000,1,0.881259459,2269.479186
24,10000,2,0.876926242,2280.693523
24,10000,3,0.879400054,2274.277777
24,10000,4,0.877341271,2279.614634
24,10000,5,0.876662632,2281.379321
