Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.640920310,127.869714
1,10000,2,15.757242854,126.925758
1,10000,3,15.637227533,127.899910
1,10000,4,15.762834636,126.880732
1,10000,5,15.636358068,127.907022
2,10000,1,9.443783280,211.779532
2,10000,2,9.615248453,208.002946
2,10000,3,9.601149517,208.308390
2,10000,4,9.488886359,210.772890
2,10000,5,9.521909515,210.041904
4,10000,1,4.737215634,422.188930
4,10000,2,4.776377663,418.727358
4,10000,3,4.772040722,419.107907
4,10000,4,4.790729876,417.472922
4,10000,5,4.728397357,422.976296
6,10000,1,3.398713685,588.457924
6,10000,2,3.400449072,588.157610
6,10000,3,3.152816461,634.353450
6,10000,4,3.203005637,624.413512
6,10000,5,3.188040792,627.344545
8,10000,1,2.306437139,867.138309
8,10000,2,2.290600493,873.133489
8,10000,3,2.334148047,856.843679
8,10000,4,2.326578490,859.631432
8,10000,5,2.444311757,818.226233
10,10000,1,1.846612205,1083.064433
10,10000,2,1.855588748,1077.825031
10,10000,3,1.870716734,1069.108948
10,10000,4,1.856323873,1077.398200
10,10000,5,1.840859323,1086.449125
12,10000,1,1.537614408,1300.716220
12,10000,2,1.538204592,1300.217156
12,10000,3,1.535032862,1302.903703
12,10000,4,1.543079228,1296.109729
12,10000,5,1.565369608,1277.653527
14,10000,1,1.333833964,1499.437002
14,10000,2,1.326282070,1507.974846
14,10000,3,1.331321623,1502.266594
14,10000,4,1.333376309,1499.951654
14,10000,5,1.330004892,1503.753867
16,10000,1,1.186977409,1684.952034
16,10000,2,1.189360039,1681.576591
16,10000,3,1.187885978,1683.663278
16,10000,4,1.190807872,1679.532061
16,10000,5,1.188746406,1682.444624
18,10000,1,1.113572045,1796.022098
18,10000,2,1.130278701,1769.475085
18,10000,3,1.104982926,1809.982718
18,10000,4,1.128477378,1772.299595
18,10000,5,1.114881292,1793.912961
20,10000,1,0.967619390,2066.928402
20,10000,2,0.968647152,2064.735333
20,10000,3,0.968310449,2065.453287
20,10000,4,0.967350478,2067.502984
20,10000,5,0.968175576,2065.741018
22,10000,1,0.897490756,2228.435209
22,10000,2,0.905483438,2208.764861
22,10000,3,0.894337293,2236.292745
22,10000,4,0.895686193,2232.924897
22,10000,5,0.897355161,2228.771937
24,10000,1,0.881692694,2268.364038
24,10000,2,0.883293602,2264.252787
24,10000,3,0.885281726,2259.167835
24,10000,4,0.875772308,2283.698607
24,10000,5,0.877186717,2280.016285
