Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.911318164,134.126304
1,10000,2,15.8752862,133.255575
1,10000,3,14.914310814,134.099391
1,10000,4,14.914241659,134.100013
1,10000,5,14.894705496,134.275901
2,10000,1,7.867430860,254.212593
2,10000,2,7.869686974,254.139714
2,10000,3,7.865455607,254.276434
2,10000,4,7.866764664,254.234121
2,10000,5,7.922107633,252.458070
4,10000,1,3.781397221,528.905027
4,10000,2,3.777508996,529.449434
4,10000,3,3.778008188,529.379477
4,10000,4,3.777173143,529.496511
4,10000,5,3.777945722,529.388230
6,10000,1,2.495395451,801.476175
6,10000,2,2.494880857,801.641487
6,10000,3,2.494954853,801.617712
6,10000,4,2.494908005,801.632764
6,10000,5,2.494752791,801.682639
8,10000,1,1.935567064,1033.288919
8,10000,2,1.915561982,1044.080024
8,10000,3,1.940406750,1030.711731
8,10000,4,1.974385162,1012.973577
8,10000,5,1.941277312,1030.249510
10,10000,1,1.508767878,1325.584955
10,10000,2,1.508763898,1325.588452
10,10000,3,1.510937683,1323.681329
10,10000,4,1.515674581,1319.544462
10,10000,5,1.510727629,1323.865376
12,10000,1,1.243375026,1608.525150
12,10000,2,1.245174516,1606.200556
12,10000,3,1.241517602,1610.931651
12,10000,4,1.243687307,1608.121261
12,10000,5,1.243403672,1608.488092
14,10000,1,1.79718555,1852.334565
14,10000,2,1.81670693,1848.991577
14,10000,3,1.79923227,1851.983502
14,10000,4,1.78515873,1854.400153
14,10000,5,1.79724973,1852.323555
16,10000,1,0.945524861,2115.227301
16,10000,2,0.945022069,2116.352692
16,10000,3,0.945689775,2114.858438
16,10000,4,0.946824791,2112.323229
16,10000,5,0.946138263,2113.855953
18,10000,1,0.845586702,2365.221680
18,10000,2,0.845855131,2364.471086
18,10000,3,0.846276728,2363.293157
18,10000,4,0.844783773,2367.469717
18,10000,5,0.847663416,2359.427058
20,10000,1,0.766901041,2607.898403
20,10000,2,0.767887299,2604.548874
20,10000,3,0.765556057,2612.480147
20,10000,4,0.766716969,2608.524502
20,10000,5,0.767082279,2607.282237
22,10000,1,0.701218633,2852.177489
22,10000,2,0.700370165,2855.632778
22,10000,3,0.701011716,2853.019364
22,10000,4,0.701113987,2852.603196
22,10000,5,0.699905609,2857.528178
24,10000,1,0.647946097,3086.676514
24,10000,2,0.647332951,3089.600177
24,10000,3,0.646171535,3095.153364
24,10000,4,0.646333223,3094.379074
24,10000,5,0.647668633,3087.998859
