Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.422982764,138.667572
1,10000,2,14.419031562,138.705571
1,10000,3,14.412461622,138.768800
1,10000,4,14.582073464,137.154706
1,10000,5,14.437693630,138.526281
2,10000,1,8.476985332,235.932932
2,10000,2,8.522338468,234.677373
2,10000,3,8.485761528,235.688924
2,10000,4,8.385744843,238.499983
2,10000,5,8.376991808,238.749189
4,10000,1,4.24504702,496.955563
4,10000,2,3.910926891,511.387724
4,10000,3,4.32558394,495.963060
4,10000,4,3.907617492,511.820823
4,10000,5,3.934162990,508.367347
6,10000,1,2.653047900,753.849940
6,10000,2,2.603077132,768.321451
6,10000,3,2.647599526,755.401253
6,10000,4,2.646695909,755.659157
6,10000,5,2.586612680,773.212014
8,10000,1,1.897807144,1053.847861
8,10000,2,1.968994576,1015.746831
8,10000,3,1.891198687,1057.530345
8,10000,4,1.898379051,1053.530378
8,10000,5,1.966511336,1017.029479
10,10000,1,1.576245240,1268.838090
10,10000,2,1.524979479,1311.493058
10,10000,3,1.527129224,1309.646865
10,10000,4,1.539956115,1298.738309
10,10000,5,1.521871290,1314.171581
12,10000,1,1.291801523,1548.225454
12,10000,2,1.292843932,1546.977134
12,10000,3,1.288329487,1552.397908
12,10000,4,1.290186856,1550.163056
12,10000,5,1.296272854,1542.885044
14,10000,1,1.109564266,1802.509383
14,10000,2,1.105511077,1809.118010
14,10000,3,1.109724391,1802.249294
14,10000,4,1.104136728,1811.369869
14,10000,5,1.108040415,1804.988314
16,10000,1,0.966381473,2069.576100
16,10000,2,0.944494232,2117.535430
16,10000,3,0.949353864,2106.696013
16,10000,4,0.954900474,2094.459113
16,10000,5,0.949784534,2105.740753
18,10000,1,0.859957999,2325.694979
18,10000,2,0.852709489,2345.464693
18,10000,3,0.851575219,2348.588775
18,10000,4,0.853328087,2343.764410
18,10000,5,0.850011876,2352.908302
20,10000,1,0.798166068,2505.744206
20,10000,2,0.799271402,2502.278944
20,10000,3,0.792348213,2524.142753
20,10000,4,0.794725866,2516.591048
20,10000,5,0.792271229,2524.388021
22,10000,1,0.732484005,2730.435049
22,10000,2,0.732811273,2729.215657
22,10000,3,0.729711182,2740.810405
22,10000,4,0.733738759,2725.765779
22,10000,5,0.746329983,2679.779783
24,10000,1,0.661371070,3024.020993
24,10000,2,0.666302684,3001.638817
24,10000,3,0.670688634,2982.009682
24,10000,4,0.663240533,3015.497245
24,10000,5,0.663688763,3013.460693
