Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,41.803798336,47.842543
1,10000,2,41.789048367,47.859429
1,10000,3,41.699906967,47.961738
1,10000,4,41.689673889,47.973510
1,10000,5,41.973419902,47.649203
4,10000,1,11.675446786,171.299654
4,10000,2,11.685205553,171.156595
4,10000,3,11.696805234,170.986860
4,10000,4,11.670903668,171.366336
4,10000,5,11.713052341,170.749685
5,10000,1,9.438125176,211.906492
5,10000,2,9.501202891,210.499662
5,10000,3,9.475878720,211.062220
5,10000,4,9.451035737,211.617018
5,10000,5,9.458676485,211.446073
6,10000,1,8.122538461,246.228443
6,10000,2,8.154806631,245.254129
6,10000,3,8.144068881,245.577491
6,10000,4,8.140807557,245.675873
6,10000,5,8.198348074,243.951584
7,10000,1,6.375118023,313.719682
7,10000,2,6.418277514,311.610085
7,10000,3,6.506055810,307.405909
7,10000,4,6.390942311,312.942897
7,10000,5,6.461063072,309.546584
8,10000,1,5.812780551,344.069414
8,10000,2,5.837047949,342.638953
8,10000,3,5.832578333,342.901524
8,10000,4,5.816899499,343.825779
8,10000,5,5.842423360,342.323703
9,10000,1,5.690461709,351.465330
9,10000,2,5.686512557,351.709414
9,10000,3,5.691563521,351.397291
9,10000,4,5.677223873,352.284857
9,10000,5,5.687649782,351.639091
10,10000,1,5.226397569,382.672763
10,10000,2,5.243906720,381.395037
10,10000,3,5.241311676,381.583871
10,10000,4,5.237484242,381.862724
10,10000,5,5.237339662,381.873266
11,10000,1,4.237151821,472.015185
11,10000,2,4.210934829,474.953919
11,10000,3,4.216829832,474.289948
11,10000,4,4.209950082,475.065015
11,10000,5,4.222823416,473.616773
12,10000,1,4.158004572,480.999952
12,10000,2,4.162488733,480.481781
12,10000,3,4.146491352,482.335505
12,10000,4,4.179072109,478.575135
12,10000,5,4.191275430,477.181716
13,10000,1,4.178325327,478.660670
13,10000,2,4.203237591,475.823685
13,10000,3,4.172316563,479.350013
13,10000,4,4.213650974,474.647761
13,10000,5,4.153240034,481.551748
14,10000,1,3.922357515,509.897426
14,10000,2,3.932553380,508.575423
14,10000,3,3.936300375,508.091306
14,10000,4,3.929352598,508.989700
14,10000,5,3.918625131,510.383089
15,10000,1,3.753282012,532.866966
15,10000,2,3.758013756,532.196030
15,10000,3,3.755482199,532.554781
15,10000,4,3.765851824,531.088342
15,10000,5,3.749064201,533.466458
16,10000,1,3.109855991,643.116596
16,10000,2,3.91652839,646.903163
16,10000,3,3.75385116,650.325057
16,10000,4,3.117330563,641.574565
16,10000,5,3.118007389,641.435298
