Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,41.701242846,47.960201
1,10000,2,41.816093728,47.828475
1,10000,3,42.288475276,47.294209
1,10000,4,42.791176186,46.738608
1,10000,5,42.84492213,47.523444
4,10000,1,11.605835219,172.327106
4,10000,2,11.957806038,167.254762
4,10000,3,11.777536469,169.814800
4,10000,4,11.932386150,167.611069
4,10000,5,11.650115886,171.672112
5,10000,1,8.938195064,223.758822
5,10000,2,8.891845771,224.925179
5,10000,3,8.941483414,223.676532
5,10000,4,8.794200412,227.422609
5,10000,5,8.780068027,227.788668
6,10000,1,7.839703356,255.111694
6,10000,2,7.889962764,253.486621
6,10000,3,7.892538175,253.403906
6,10000,4,7.899235428,253.189061
6,10000,5,7.882790777,253.717250
7,10000,1,6.479718019,308.655407
7,10000,2,6.330130360,315.949260
7,10000,3,6.310848069,316.914617
7,10000,4,6.573800888,304.237995
7,10000,5,6.340838672,315.415689
8,10000,1,5.992713880,333.738610
8,10000,2,5.582598873,358.256082
8,10000,3,6.348635681,315.028315
8,10000,4,5.588839856,357.856022
8,10000,5,5.624806202,355.567806
9,10000,1,5.257954169,380.376081
9,10000,2,5.33038885,397.374240
9,10000,3,5.24016385,398.087874
9,10000,4,5.55625008,395.598961
9,10000,5,5.244842806,381.326967
10,10000,1,4.645996744,430.478132
10,10000,2,4.977669399,401.794462
10,10000,3,5.131270839,389.766992
10,10000,4,4.639904686,431.043337
10,10000,5,4.962228786,403.044698
11,10000,1,4.167927831,479.854758
11,10000,2,4.277512216,467.561493
11,10000,3,4.253889433,470.157965
11,10000,4,4.263949175,469.048743
11,10000,5,4.279848552,467.306255
12,10000,1,3.829123932,522.312684
12,10000,2,3.823879003,523.029102
12,10000,3,3.831843566,521.941975
12,10000,4,3.823341614,523.102616
12,10000,5,3.813104367,524.507018
13,10000,1,3.816114957,524.093226
13,10000,2,3.823707062,523.052621
13,10000,3,3.834367030,521.598476
13,10000,4,3.826810724,522.628409
13,10000,5,3.842122711,520.545581
14,10000,1,3.341107299,598.603942
14,10000,2,3.341189461,598.589222
14,10000,3,3.348874882,597.215504
14,10000,4,3.356702543,595.822827
14,10000,5,3.337924149,599.174790
15,10000,1,3.115270837,641.998755
15,10000,2,3.186354994,627.676453
15,10000,3,3.134634176,638.032985
15,10000,4,3.138256342,637.296569
15,10000,5,3.150704902,634.778585
16,10000,1,2.866996141,697.594242
16,10000,2,2.863331294,698.487110
16,10000,3,2.889673594,692.119693
16,10000,4,2.856152621,700.242692
16,10000,5,2.860572448,699.160758
