Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.902381708,46.617459
1,10000,2,42.993980828,46.518140
1,10000,3,43.275746733,46.215263
1,10000,4,43.103173023,46.400296
1,10000,5,43.75913731,46.429659
4,10000,1,11.336043735,176.428395
4,10000,2,11.336747927,176.417436
4,10000,3,11.338132386,176.395894
4,10000,4,11.319487326,176.686447
4,10000,5,11.351950354,176.181179
5,10000,1,8.919080844,224.238353
5,10000,2,8.922411199,224.154655
5,10000,3,8.929318729,223.981253
5,10000,4,8.928989978,223.989500
5,10000,5,8.926054110,224.063172
6,10000,1,7.457591041,268.183116
6,10000,2,7.442729422,268.718623
6,10000,3,7.457188084,268.197607
6,10000,4,7.449151697,268.486947
6,10000,5,7.463145053,267.983536
7,10000,1,6.464844261,309.365534
7,10000,2,6.477191179,308.775817
7,10000,3,6.604943187,302.803513
7,10000,4,6.481900932,308.551461
7,10000,5,6.487940114,308.264251
8,10000,1,5.973971876,334.785640
8,10000,2,5.983695453,334.241610
8,10000,3,5.992505091,333.750238
8,10000,4,5.981254206,334.378030
8,10000,5,5.974525514,334.754617
9,10000,1,5.342617513,374.348341
9,10000,2,5.344410581,374.222745
9,10000,3,5.346745639,374.059313
9,10000,4,5.320537832,375.901847
9,10000,5,5.316331173,376.199288
10,10000,1,4.870513830,410.634292
10,10000,2,4.875338684,410.227910
10,10000,3,4.858863383,411.618900
10,10000,4,4.872253629,410.487662
10,10000,5,4.870790898,410.610934
11,10000,1,4.563080561,438.300392
11,10000,2,4.564972007,438.118787
11,10000,3,4.564466594,438.167299
11,10000,4,4.580009564,436.680311
11,10000,5,4.551342416,439.430791
12,10000,1,4.330591036,461.830726
12,10000,2,4.319795294,462.984902
12,10000,3,4.332053273,461.674840
12,10000,4,4.325127264,462.414139
12,10000,5,4.329723092,461.923305
13,10000,1,4.62093727,492.356931
13,10000,2,4.76990160,490.557966
13,10000,3,4.84581848,489.646205
13,10000,4,4.78451890,490.382148
13,10000,5,4.78005368,490.435843
14,10000,1,3.805523455,525.551878
14,10000,2,3.811166914,524.773657
14,10000,3,3.805011100,525.622645
14,10000,4,3.812385134,524.605970
14,10000,5,3.820507628,523.490644
15,10000,1,3.759215141,532.025948
15,10000,2,3.741361500,534.564757
15,10000,3,3.703522057,540.026485
15,10000,4,3.723491790,537.130230
15,10000,5,3.727950133,536.487863
16,10000,1,3.936501909,508.065294
16,10000,2,3.923045004,509.808069
16,10000,3,3.912077150,511.237361
16,10000,4,3.913798820,511.012469
16,10000,5,3.916425619,510.669727
