Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.355724966,47.219119
1,10000,2,42.333652903,47.243738
1,10000,3,42.545182543,47.008848
1,10000,4,42.749260729,46.784435
1,10000,5,42.450816053,47.113346
4,10000,1,11.154362754,179.302040
4,10000,2,11.200586520,178.562078
4,10000,3,11.211869310,178.382386
4,10000,4,11.200224949,178.567842
4,10000,5,11.212571940,178.371208
5,10000,1,8.920444220,224.204081
5,10000,2,8.963834635,223.118797
5,10000,3,8.929333560,223.980881
5,10000,4,9.98479843,219.816940
5,10000,5,8.893751710,224.876977
6,10000,1,7.615136232,262.634829
6,10000,2,7.553829130,264.766381
6,10000,3,7.576489990,263.974479
6,10000,4,7.545033077,265.075047
6,10000,5,7.566879541,264.309745
7,10000,1,6.445025485,310.316849
7,10000,2,6.452147179,309.974330
7,10000,3,6.459304022,309.630882
7,10000,4,6.452981224,309.934266
7,10000,5,6.459757032,309.609168
8,10000,1,5.625109737,355.548619
8,10000,2,5.618717230,355.953133
8,10000,3,5.622632105,355.705293
8,10000,4,5.618772133,355.949655
8,10000,5,5.635000770,354.924530
9,10000,1,5.107733132,391.563135
9,10000,2,5.125616705,390.196949
9,10000,3,5.122539068,390.431381
9,10000,4,5.122600473,390.426700
9,10000,5,5.133577888,389.591829
10,10000,1,4.518328591,442.641556
10,10000,2,4.496826480,444.758100
10,10000,3,4.516901993,442.781358
10,10000,4,4.529892498,441.511581
10,10000,5,4.528764674,441.621533
11,10000,1,4.263960102,469.047541
11,10000,2,4.246202067,471.009144
11,10000,3,4.246514413,470.974499
11,10000,4,4.257963377,469.708126
11,10000,5,4.260136295,469.468548
12,10000,1,3.817334898,523.925737
12,10000,2,3.829973794,522.196785
12,10000,3,3.801131945,526.159057
12,10000,4,3.818974324,523.700824
12,10000,5,3.825397157,522.821531
13,10000,1,3.529299319,566.684721
13,10000,2,3.567840630,560.563155
13,10000,3,3.586544589,557.639798
13,10000,4,3.557980039,562.116701
13,10000,5,3.559852100,561.821094
14,10000,1,3.438533798,581.643258
14,10000,2,3.432602037,582.648375
14,10000,3,3.443502510,580.803991
14,10000,4,3.466725618,576.913266
14,10000,5,3.434214230,582.374851
15,10000,1,3.278653802,610.006460
15,10000,2,3.239644480,617.351692
15,10000,3,3.276730934,610.364427
15,10000,4,3.247021484,615.949112
15,10000,5,3.256486154,614.158914
16,10000,1,2.973075591,672.704053
16,10000,2,2.963781033,674.813685
16,10000,3,2.962976928,674.996819
16,10000,4,2.967211216,674.033580
16,10000,5,3.17034347,662.902629
