Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.643106632,96.884642
1,10000,2,20.547031681,97.337661
1,10000,3,20.683717476,96.694417
1,10000,4,20.614161991,97.020679
1,10000,5,20.567367438,97.241419
4,10000,1,5.846942062,342.059145
4,10000,2,5.636447196,354.833449
4,10000,3,5.778620812,346.103346
4,10000,4,5.806517557,344.440533
4,10000,5,5.634858538,354.933489
5,10000,1,4.347906265,459.991517
5,10000,2,4.342921627,460.519478
5,10000,3,4.396457818,454.911677
5,10000,4,4.337733208,461.070311
5,10000,5,4.379872678,456.634278
6,10000,1,3.851090472,519.333424
6,10000,2,4.833442,499.895841
6,10000,3,3.873409474,516.340969
6,10000,4,3.988244643,501.473751
6,10000,5,3.832694783,521.826055
7,10000,1,3.212882737,622.493930
7,10000,2,3.130540360,638.867342
7,10000,3,3.146633087,635.600003
7,10000,4,3.231765568,618.856770
7,10000,5,3.138871412,637.171689
8,10000,1,2.770922140,721.781378
8,10000,2,2.757805720,725.214248
8,10000,3,2.982645389,670.545687
8,10000,4,2.765856801,723.103235
8,10000,5,2.767636296,722.638304
9,10000,1,2.472811603,808.795946
9,10000,2,2.466424788,810.890326
9,10000,3,2.476659455,807.539364
9,10000,4,2.505973666,798.092984
9,10000,5,2.496443653,801.139652
10,10000,1,2.401913995,832.669281
10,10000,2,2.403345249,832.173405
10,10000,3,2.228503808,897.463129
10,10000,4,2.232639214,895.800803
10,10000,5,2.235036373,894.840023
11,10000,1,2.183856475,915.811100
11,10000,2,2.200033931,909.076888
11,10000,3,2.181426159,916.831400
11,10000,4,2.190358858,913.092388
11,10000,5,2.187386138,914.333306
12,10000,1,1.842990828,1085.192595
12,10000,2,1.847113045,1082.770762
12,10000,3,1.847074065,1082.793613
12,10000,4,1.848269687,1082.093167
12,10000,5,1.844086889,1084.547595
13,10000,1,1.847600683,1082.484986
13,10000,2,1.845503205,1083.715268
13,10000,3,1.849049097,1081.637044
13,10000,4,1.845774886,1083.555755
13,10000,5,1.848342526,1082.050525
14,10000,1,1.628193490,1228.355237
14,10000,2,1.626420119,1229.694577
14,10000,3,1.627008086,1229.250191
14,10000,4,1.631666145,1225.740943
14,10000,5,1.629649000,1227.258140
15,10000,1,1.531347990,1306.038871
15,10000,2,1.544501987,1294.915783
15,10000,3,1.540273129,1298.471006
15,10000,4,1.537019382,1301.219766
15,10000,5,1.534143653,1303.658882
16,10000,1,1.491196306,1341.205039
16,10000,2,1.500392234,1332.984772
16,10000,3,1.499974568,1333.355940
16,10000,4,1.495355864,1337.474275
16,10000,5,1.503057896,1330.620733
