Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.570645704,97.225922
1,10000,2,20.591209075,97.128828
1,10000,3,20.615727548,97.013312
1,10000,4,20.612769550,97.027233
1,10000,5,20.590373456,97.132770
4,10000,1,5.413487446,369.447610
4,10000,2,5.399200161,370.425237
4,10000,3,5.413232252,369.465027
4,10000,4,5.398541495,370.470432
4,10000,5,5.403231111,370.148890
5,10000,1,4.260759913,469.399835
5,10000,2,4.247723644,470.840424
5,10000,3,4.271405320,468.229974
5,10000,4,4.243397666,471.320427
5,10000,5,4.255961499,469.929063
6,10000,1,3.702433346,540.185282
6,10000,2,3.704520001,539.881010
6,10000,3,3.693367612,541.511220
6,10000,4,3.693237067,541.530360
6,10000,5,3.701473065,540.325423
7,10000,1,3.56770674,654.285262
7,10000,2,3.51339154,655.449919
7,10000,3,3.45904051,656.619502
7,10000,4,3.33358529,659.335183
7,10000,5,3.43900823,657.051631
8,10000,1,2.720955750,735.035842
8,10000,2,2.704715852,739.449210
8,10000,3,2.713629271,737.020352
8,10000,4,2.713917962,736.941952
8,10000,5,2.718995925,735.565648
9,10000,1,2.499209121,800.253161
9,10000,2,2.505635550,798.200680
9,10000,3,2.492549739,802.391210
9,10000,4,2.495164149,801.550471
9,10000,5,2.495122011,801.564008
10,10000,1,2.375459780,841.942270
10,10000,2,2.372831654,842.874798
10,10000,3,2.367422064,844.800777
10,10000,4,2.365395295,845.524638
10,10000,5,2.368849501,844.291712
11,10000,1,2.121454687,942.749337
11,10000,2,2.125315182,941.036895
11,10000,3,2.127143399,940.228102
11,10000,4,2.126282112,940.608957
11,10000,5,2.139724937,934.699580
12,10000,1,1.911580681,1046.254558
12,10000,2,1.920962759,1041.144598
12,10000,3,1.918487358,1042.487975
12,10000,4,1.910946234,1046.601921
12,10000,5,1.902646807,1051.167244
13,10000,1,1.909759170,1047.252466
13,10000,2,1.904211162,1050.303685
13,10000,3,1.907814160,1048.320136
13,10000,4,1.916706255,1043.456708
13,10000,5,1.913795627,1045.043667
14,10000,1,1.787795963,1118.695892
14,10000,2,1.790019836,1117.306054
14,10000,3,1.786259065,1119.658419
14,10000,4,1.789372314,1117.710375
14,10000,5,1.787916058,1118.620749
15,10000,1,1.661278783,1203.891858
15,10000,2,1.663131732,1202.550563
15,10000,3,1.664226729,1201.759331
15,10000,4,1.651882389,1210.739949
15,10000,5,1.657818273,1206.404847
16,10000,1,1.502984935,1330.685327
16,10000,2,1.512296816,1322.491709
16,10000,3,1.505571174,1328.399503
16,10000,4,1.511256468,1323.402111
16,10000,5,1.508537554,1325.787346
