Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,31.960062208,62.578101
1,10000,2,31.940714779,62.616006
1,10000,3,31.984217829,62.530840
1,10000,4,31.601348271,63.288439
1,10000,5,31.776509562,62.939575
4,10000,1,10.968046589,182.347876
4,10000,2,10.801659337,185.156737
4,10000,3,10.870711841,183.980592
4,10000,4,10.932866959,182.934633
4,10000,5,10.833227357,184.617191
5,10000,1,8.245505904,242.556372
5,10000,2,8.269490298,241.852875
5,10000,3,8.271027262,241.807932
5,10000,4,8.221306627,243.270333
5,10000,5,8.281336186,241.506921
6,10000,1,5.594310086,357.506103
6,10000,2,5.627760215,355.381168
6,10000,3,5.634096559,354.981492
6,10000,4,5.611026875,356.440995
6,10000,5,5.641298190,354.528325
7,10000,1,5.562157484,359.572703
7,10000,2,5.641209059,354.533927
7,10000,3,5.692353180,351.348544
7,10000,4,5.650431694,353.955257
7,10000,5,5.597404787,357.308445
8,10000,1,4.313014092,463.712837
8,10000,2,4.356296861,459.105535
8,10000,3,4.361658555,458.541166
8,10000,4,4.341955589,460.621938
8,10000,5,4.328611505,462.041927
9,10000,1,4.315667119,463.427773
9,10000,2,4.359171251,458.802806
9,10000,3,4.335058613,461.354777
9,10000,4,4.352111371,459.547063
9,10000,5,4.324702531,462.459553
10,10000,1,3.925649319,509.469858
10,10000,2,3.888036543,514.398457
10,10000,3,3.910154391,511.488755
10,10000,4,3.874327756,516.218587
10,10000,5,3.916205168,510.698473
11,10000,1,3.527452345,566.981437
11,10000,2,3.551338007,563.168022
11,10000,3,3.539345107,565.076289
11,10000,4,3.496115872,572.063419
11,10000,5,3.505579529,570.519078
12,10000,1,3.141690469,636.599951
12,10000,2,3.110972958,642.885691
12,10000,3,3.123103602,640.388618
12,10000,4,3.113495650,642.364797
12,10000,5,3.113657793,642.331346
13,10000,1,3.107090392,643.689030
13,10000,2,3.127784639,639.430214
13,10000,3,3.121465542,640.724677
13,10000,4,3.75568351,650.286312
13,10000,5,3.163783854,632.154437
14,10000,1,2.729219576,732.810221
14,10000,2,2.748055881,727.787238
14,10000,3,2.744008139,728.860812
14,10000,4,2.721153973,734.982298
14,10000,5,2.759129510,724.866300
15,10000,1,2.629186272,760.691633
15,10000,2,2.602312734,768.547137
15,10000,3,2.604114728,768.015318
15,10000,4,2.638455723,758.019163
15,10000,5,2.628614983,760.856958
16,10000,1,2.631089925,760.141256
16,10000,2,2.633651571,759.401897
16,10000,3,2.634427139,759.178332
16,10000,4,2.607824553,766.922759
16,10000,5,2.631652337,759.978806
