Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.779530539,64.978249
1,10000,2,30.841814119,64.847029
1,10000,3,30.824236382,64.884008
1,10000,4,30.837476139,64.856151
1,10000,5,30.808668165,64.916795
2,10000,1,15.809033830,126.509945
2,10000,2,15.836605297,126.289692
2,10000,3,15.905709802,125.741009
2,10000,4,15.837442062,126.283019
2,10000,5,15.819174199,126.428850
3,10000,1,10.449270027,191.400930
3,10000,2,10.444622841,191.486091
3,10000,3,10.446975729,191.442964
3,10000,4,10.442957828,191.516621
3,10000,5,10.469599474,191.029275
4,10000,1,7.844227615,254.964555
4,10000,2,7.845466519,254.924292
4,10000,3,7.856139409,254.577967
4,10000,4,7.859807531,254.459157
4,10000,5,8.40575038,248.738429
5,10000,1,6.783225510,294.844981
5,10000,2,6.952964287,287.647098
5,10000,3,6.668326459,299.925328
5,10000,4,6.749720791,296.308553
5,10000,5,6.680891911,299.361227
6,10000,1,5.262249584,380.065591
6,10000,2,5.267425975,379.692094
6,10000,3,5.255857488,380.527821
6,10000,4,5.274048076,379.215352
6,10000,5,5.260513449,380.191025
7,10000,1,4.591591034,435.578863
7,10000,2,4.617576741,433.127615
7,10000,3,4.644919318,430.577985
7,10000,4,4.683750413,427.008236
7,10000,5,4.605748211,434.239978
8,10000,1,4.227269552,473.118635
8,10000,2,4.247041164,470.916086
8,10000,3,4.261304544,469.339842
8,10000,4,4.231559139,472.639028
8,10000,5,4.239143166,471.793455
9,10000,1,3.910958111,511.383641
9,10000,2,3.900422734,512.764933
9,10000,3,3.896701767,513.254573
9,10000,4,3.901383856,512.638611
9,10000,5,3.888974742,514.274361
10,10000,1,3.286368542,608.574472
10,10000,2,3.286416719,608.565551
10,10000,3,3.285716312,608.695277
10,10000,4,3.291251355,607.671607
10,10000,5,3.279526812,609.844076
