Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.885560331,64.755179
1,10000,2,30.762372846,65.014491
1,10000,3,30.647965518,65.257186
1,10000,4,30.695891104,65.155300
1,10000,5,30.849094812,64.831724
2,10000,1,16.274961385,122.888156
2,10000,2,16.70003633,124.455479
2,10000,3,16.79695062,124.380468
2,10000,4,16.245799654,123.108745
2,10000,5,16.249814498,123.078328
3,10000,1,10.588849514,188.877932
3,10000,2,10.561250484,189.371515
3,10000,3,10.569673635,189.220601
3,10000,4,10.561341314,189.369886
3,10000,5,10.565629334,189.293031
4,10000,1,8.113922056,246.489920
4,10000,2,8.126819925,246.098722
4,10000,3,8.111451196,246.565004
4,10000,4,8.118787600,246.342200
4,10000,5,8.122634964,246.225518
5,10000,1,6.932546054,288.494297
5,10000,2,7.44448178,283.911521
5,10000,3,7.13828470,285.150971
5,10000,4,7.17699048,284.993698
5,10000,5,7.29134244,284.530062
6,10000,1,5.298744467,377.447905
6,10000,2,5.326330066,375.493065
6,10000,3,5.303747709,377.091843
6,10000,4,5.299050678,377.426094
6,10000,5,5.298051704,377.497260
7,10000,1,4.841841835,413.065951
7,10000,2,4.849758652,412.391656
7,10000,3,4.843517860,412.923015
7,10000,4,4.852909911,412.123867
7,10000,5,4.848601005,412.490118
8,10000,1,4.473460924,447.081138
8,10000,2,4.434717151,450.987049
8,10000,3,4.420334316,452.454465
8,10000,4,4.438898794,450.562199
8,10000,5,4.451244480,449.312548
9,10000,1,4.297888115,465.344827
9,10000,2,4.191590000,477.145904
9,10000,3,4.184954292,477.902472
9,10000,4,4.233264614,472.448614
9,10000,5,4.193956187,476.876703
10,10000,1,3.602455669,555.176853
10,10000,2,3.701544056,540.315060
10,10000,3,3.616525006,553.017053
10,10000,4,3.611272885,553.821343
10,10000,5,3.603239763,555.056042
