Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.952010025,66.773482
1,10000,2,29.791077434,67.134195
1,10000,3,29.969315281,66.734925
1,10000,4,29.976028051,66.719980
1,10000,5,29.951321419,66.775017
2,10000,1,16.705671967,119.719818
2,10000,2,17.147226714,116.636937
2,10000,3,17.852662715,112.028107
2,10000,4,17.29937516,117.440243
2,10000,5,17.123235432,116.800356
3,10000,1,10.663572075,187.554413
3,10000,2,10.645580956,187.871381
3,10000,3,10.616857062,188.379667
3,10000,4,10.609180320,188.515978
3,10000,5,10.554023423,189.501190
4,10000,1,8.192798919,244.116818
4,10000,2,8.209351404,243.624606
4,10000,3,8.205068294,243.751780
4,10000,4,8.208031159,243.663792
4,10000,5,8.210591565,243.587808
5,10000,1,6.71451572,329.410517
5,10000,2,6.69507831,329.516009
5,10000,3,6.433489696,310.873273
5,10000,4,6.65026568,329.759479
5,10000,5,6.95511095,328.110304
6,10000,1,5.53422813,395.771356
6,10000,2,5.67247286,394.691612
6,10000,3,5.226394509,382.672987
6,10000,4,5.229858020,382.419559
6,10000,5,5.48518054,396.155858
7,10000,1,4.314760801,463.525116
7,10000,2,4.318945772,463.075969
7,10000,3,4.312062296,463.815192
7,10000,4,4.315454453,463.450610
7,10000,5,4.321884198,462.761126
8,10000,1,3.802235137,526.006396
8,10000,2,3.753599681,532.821870
8,10000,3,3.746973882,533.764062
8,10000,4,3.752000712,533.048939
8,10000,5,3.749645778,533.383716
9,10000,1,3.332397598,600.168480
9,10000,2,3.330340878,600.539126
9,10000,3,3.328477289,600.875363
9,10000,4,3.331800596,600.276020
9,10000,5,3.331822091,600.272147
10,10000,1,3.19761210,662.304024
10,10000,2,3.19074064,662.454765
10,10000,3,3.20413193,662.161059
10,10000,4,3.18683876,662.540392
10,10000,5,3.16271177,663.070355
