Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.10518337,66.643301
1,10000,2,30.41318403,66.574974
1,10000,3,29.843131461,67.017096
1,10000,4,30.37189314,66.584126
1,10000,5,29.857692410,66.984413
2,10000,1,17.928447265,111.554557
2,10000,2,18.297642201,109.303700
2,10000,3,17.979469905,111.237985
2,10000,4,17.967783185,111.310337
2,10000,5,17.978612700,111.243289
3,10000,1,11.79086570,180.520297
3,10000,2,10.867570878,184.033766
3,10000,3,10.998613933,181.841095
3,10000,4,11.11047402,181.635763
3,10000,5,10.984027870,182.082568
4,10000,1,8.274418780,241.708820
4,10000,2,8.279090293,241.572435
4,10000,3,8.324796360,240.246117
4,10000,4,8.460350555,236.396824
4,10000,5,8.279884521,241.549263
5,10000,1,6.435570970,310.772736
5,10000,2,6.444872272,310.324226
5,10000,3,6.340608264,315.427151
5,10000,4,6.435853505,310.759093
5,10000,5,6.345841742,315.167015
6,10000,1,5.282549662,378.605054
6,10000,2,5.293633808,377.812307
6,10000,3,5.293137409,377.847739
6,10000,4,5.292599042,377.886174
6,10000,5,5.294987561,377.715713
7,10000,1,4.433441789,451.116784
7,10000,2,4.425136957,451.963413
7,10000,3,4.443675481,450.077871
7,10000,4,4.434370691,451.022285
7,10000,5,4.441959388,450.251753
8,10000,1,3.858101108,518.389732
8,10000,2,3.855258086,518.772014
8,10000,3,3.859999834,518.134737
8,10000,4,3.854715200,518.845076
8,10000,5,3.854379372,518.890282
9,10000,1,3.400684756,588.116848
9,10000,2,3.416031806,585.474642
9,10000,3,3.416559407,585.384231
9,10000,4,3.417806616,585.170615
9,10000,5,3.409548239,586.587976
10,10000,1,3.65199724,652.486030
10,10000,2,3.64502075,652.634572
10,10000,3,3.43167966,657.209862
10,10000,4,3.39279618,658.050674
10,10000,5,3.62036509,653.160076
