Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.216309468,68.454916
1,10000,2,29.218823439,68.449026
1,10000,3,29.208308887,68.473666
1,10000,4,29.211994750,68.465027
1,10000,5,29.216267140,68.455015
2,10000,1,15.626099906,127.990990
2,10000,2,15.614585105,128.085376
2,10000,3,15.619497526,128.045092
2,10000,4,15.616563154,128.069152
2,10000,5,15.609374399,128.128133
3,10000,1,10.207278323,195.938617
3,10000,2,10.89618488,198.223551
3,10000,3,10.84498246,198.324195
3,10000,4,10.87739680,198.260469
3,10000,5,10.81989777,198.373540
4,10000,1,7.613194574,262.701811
4,10000,2,7.565805599,264.347263
4,10000,3,7.564591631,264.389685
4,10000,4,7.567750745,264.279317
4,10000,5,7.569965434,264.201999
5,10000,1,6.614660759,302.358666
5,10000,2,6.692918284,298.823311
5,10000,3,7.201021893,277.738358
5,10000,4,6.561443020,304.810999
5,10000,5,6.599877206,303.035941
6,10000,1,4.964181398,402.886164
6,10000,2,5.442781225,367.459194
6,10000,3,4.932108009,405.506124
6,10000,4,4.936513146,405.144267
6,10000,5,5.63257134,395.002653
7,10000,1,4.646433430,430.437674
7,10000,2,4.872796025,410.441970
7,10000,3,4.860263604,411.500314
7,10000,4,4.620455012,432.857802
7,10000,5,4.604592078,434.349008
8,10000,1,4.283082851,466.953377
8,10000,2,4.209864849,475.074633
8,10000,3,4.218004856,474.157823
8,10000,4,4.262060259,469.256622
8,10000,5,4.408235295,453.696290
9,10000,1,3.730690165,536.093836
9,10000,2,3.679583457,543.539785
9,10000,3,3.681701882,543.227036
9,10000,4,3.706868910,539.538907
9,10000,5,3.726594596,536.683009
10,10000,1,3.276200111,610.463321
10,10000,2,3.299407539,606.169434
10,10000,3,3.319644049,602.474232
10,10000,4,3.521813056,567.889314
10,10000,5,3.355098960,596.107603
