Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.799299136,126.587894
1,10000,2,15.913977481,125.675684
1,10000,3,15.894164055,125.832349
1,10000,4,16.56636798,124.559086
1,10000,5,16.156185890,123.791594
2,10000,1,8.274117873,241.717610
2,10000,2,8.397192696,238.174837
2,10000,3,8.327397075,240.171086
2,10000,4,8.341102029,239.776470
2,10000,5,8.395821967,238.213722
3,10000,1,5.524534590,362.021446
3,10000,2,5.455433282,366.606995
3,10000,3,5.468247442,365.747897
3,10000,4,5.469216511,365.683091
3,10000,5,5.492702222,364.119502
4,10000,1,4.118114334,485.659173
4,10000,2,4.128123618,484.481616
4,10000,3,4.143610487,482.670851
4,10000,4,4.165574154,480.125890
4,10000,5,4.127232003,484.586279
5,10000,1,3.735735525,535.369805
5,10000,2,3.672452070,544.595263
5,10000,3,3.740770115,534.649267
5,10000,4,3.681295475,543.287007
5,10000,5,3.765282789,531.168603
6,10000,1,2.799595801,714.388841
6,10000,2,2.773707929,721.056453
6,10000,3,2.757638729,725.258163
6,10000,4,2.775011835,720.717647
6,10000,5,2.745584012,728.442470
7,10000,1,2.527595140,791.265962
7,10000,2,2.533808294,789.325698
7,10000,3,2.525689450,791.862990
7,10000,4,2.527374588,791.335012
7,10000,5,2.528116734,791.102710
8,10000,1,2.329476622,858.561954
8,10000,2,2.409173404,830.160252
8,10000,3,2.393014685,835.765870
8,10000,4,2.392551797,835.927566
8,10000,5,2.387362699,837.744512
9,10000,1,2.128641814,939.566247
9,10000,2,2.100899392,951.973239
9,10000,3,2.157509969,926.994558
9,10000,4,2.136284305,936.204978
9,10000,5,2.95303313,954.515744
10,10000,1,1.862406391,1073.879476
10,10000,2,1.876347389,1065.900702
10,10000,3,1.876497077,1065.815676
10,10000,4,1.867179778,1071.134137
10,10000,5,1.896231524,1054.723526
