Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.941629471,125.457689
1,10000,2,16.637917463,120.207352
1,10000,3,15.945184955,125.429715
1,10000,4,15.951550638,125.379660
1,10000,5,15.997035985,125.023161
2,10000,1,8.368796668,238.982984
2,10000,2,8.369981715,238.949148
2,10000,3,8.372330581,238.882111
2,10000,4,8.381430133,238.622761
2,10000,5,8.395805810,238.214180
3,10000,1,5.470861406,365.573143
3,10000,2,5.559228524,359.762149
3,10000,3,5.464965493,365.967544
3,10000,4,5.462727052,366.117505
3,10000,5,5.572016554,358.936478
4,10000,1,4.140243147,483.063417
4,10000,2,4.121572818,485.251647
4,10000,3,4.162931541,480.430673
4,10000,4,4.111871405,486.396534
4,10000,5,4.122820262,485.104825
5,10000,1,3.690570890,541.921578
5,10000,2,3.953504993,505.880226
5,10000,3,3.973268198,503.363956
5,10000,4,3.723079428,537.189721
5,10000,5,3.681130598,543.311341
6,10000,1,2.747687779,727.884738
6,10000,2,2.773944233,720.995028
6,10000,3,2.777893861,719.969912
6,10000,4,2.748953978,727.549466
6,10000,5,2.784733370,718.201614
7,10000,1,2.499558420,800.141331
7,10000,2,2.530766303,790.274470
7,10000,3,2.524495011,792.237652
7,10000,4,2.529367792,790.711421
7,10000,5,2.524618471,792.198910
8,10000,1,2.332419268,857.478768
8,10000,2,2.379613981,840.472453
8,10000,3,2.515703688,795.006188
8,10000,4,2.338533645,855.236787
8,10000,5,2.547517555,785.078005
9,10000,1,2.84085536,959.653510
9,10000,2,2.92595208,955.751018
9,10000,3,2.83747754,959.809073
9,10000,4,2.84100560,959.646592
9,10000,5,2.91337912,956.325608
10,10000,1,1.950380418,1025.440976
10,10000,2,1.877142925,1065.448972
10,10000,3,1.908171101,1048.124038
10,10000,4,1.925745208,1038.558991
10,10000,5,1.868626162,1070.305041
