Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.177311298,131.775646
1,10000,2,15.370364982,130.120528
1,10000,3,15.81691037,132.611124
1,10000,4,15.218210748,131.421494
1,10000,5,15.150320498,132.010409
2,10000,1,9.26743255,221.563851
2,10000,2,8.966984739,223.040415
2,10000,3,8.745652130,228.685062
2,10000,4,8.720023809,229.357172
2,10000,5,9.208393785,217.193144
3,10000,1,5.382015672,371.607985
3,10000,2,5.392084551,370.914065
3,10000,3,5.538918634,361.081311
3,10000,4,5.339818457,374.544569
3,10000,5,5.448124030,367.098838
4,10000,1,4.120878564,485.333399
4,10000,2,4.144587560,482.557063
4,10000,3,4.141474575,482.919782
4,10000,4,4.158097222,480.989235
4,10000,5,4.130645086,484.185874
5,10000,1,3.187792469,627.393414
5,10000,2,3.183969290,628.146762
5,10000,3,3.196160545,625.750794
5,10000,4,3.191426361,626.679037
5,10000,5,3.189209098,627.114729
6,10000,1,2.666091656,750.161757
6,10000,2,2.667572974,749.745188
6,10000,3,2.662124053,751.279790
6,10000,4,2.678932321,746.566079
6,10000,5,2.665712167,750.268549
7,10000,1,2.261495098,884.370699
7,10000,2,2.248073382,889.650674
7,10000,3,2.246518338,890.266492
7,10000,4,2.260855703,884.620809
7,10000,5,2.264959567,883.017970
8,10000,1,1.954276395,1023.396693
8,10000,2,1.968435188,1016.035485
8,10000,3,1.939377643,1031.258665
8,10000,4,1.950027428,1025.626600
8,10000,5,1.951144112,1025.039610
9,10000,1,1.710160257,1169.481042
9,10000,2,1.733341006,1153.841046
9,10000,3,1.724629729,1159.669213
9,10000,4,1.721513623,1161.768326
9,10000,5,1.727233608,1157.920961
10,10000,1,1.544930231,1294.556841
10,10000,2,1.548866508,1291.266865
10,10000,3,1.556763193,1284.716911
10,10000,4,1.541411894,1297.511721
10,10000,5,1.541580781,1297.369573
