Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.225751609,131.356405
1,10000,2,15.203941086,131.544840
1,10000,3,15.204059498,131.543816
1,10000,4,15.192536415,131.643588
1,10000,5,15.134800594,132.145778
2,10000,1,7.737841793,258.470004
2,10000,2,7.846995028,254.874636
2,10000,3,7.847183371,254.868518
2,10000,4,7.833009764,255.329696
2,10000,5,7.842806203,255.010764
3,10000,1,5.129121431,389.930328
3,10000,2,5.61220777,395.161580
3,10000,3,5.130021991,389.861877
3,10000,4,5.123889743,390.328461
3,10000,5,5.129738799,389.883399
4,10000,1,3.783469801,528.615294
4,10000,2,3.784602104,528.457139
4,10000,3,3.787407639,528.065683
4,10000,4,3.783756085,528.575298
4,10000,5,3.783633146,528.592473
5,10000,1,3.191355349,626.692982
5,10000,2,3.181718895,628.591043
5,10000,3,3.184061454,628.128580
5,10000,4,3.182833416,628.370932
5,10000,5,3.180023492,628.926171
6,10000,1,2.499794749,800.065686
6,10000,2,2.495670618,801.387806
6,10000,3,2.499735161,800.084757
6,10000,4,2.497133181,800.918435
6,10000,5,2.498744318,800.402020
7,10000,1,2.224648234,899.018537
7,10000,2,2.231007670,896.455905
7,10000,3,2.227600641,897.827000
7,10000,4,2.228988137,897.268122
7,10000,5,2.219078672,901.274941
8,10000,1,1.938021051,1031.980534
8,10000,2,1.943812617,1028.905761
8,10000,3,1.943924912,1028.846324
8,10000,4,1.949362918,1025.976221
8,10000,5,1.951656380,1024.770559
9,10000,1,1.712884934,1167.620755
9,10000,2,1.711675000,1168.446113
9,10000,3,1.715819204,1165.623974
9,10000,4,1.718948735,1163.501831
9,10000,5,1.715774337,1165.654455
10,10000,1,1.514083201,1320.931372
10,10000,2,1.522979490,1313.215321
10,10000,3,1.520162166,1315.649110
10,10000,4,1.520353558,1315.483487
10,10000,5,1.517302157,1318.129017
