Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.142234706,132.080901
1,10000,2,15.148514405,132.026148
1,10000,3,15.142330985,132.080061
1,10000,4,15.69270080,132.720430
1,10000,5,15.148148595,132.029336
2,10000,1,8.969256712,222.983918
2,10000,2,8.902945482,224.644754
2,10000,3,9.379125476,213.239497
2,10000,4,9.400056592,212.764677
2,10000,5,9.295300299,215.162495
3,10000,1,5.617290559,356.043537
3,10000,2,5.595593301,357.424118
3,10000,3,5.469579415,365.658828
3,10000,4,5.583979540,358.167501
3,10000,5,5.724218883,349.392649
4,10000,1,4.434920593,450.966361
4,10000,2,4.387104026,455.881599
4,10000,3,4.349281595,459.846059
4,10000,4,4.249518571,470.641548
4,10000,5,4.281992435,467.072287
5,10000,1,3.370381316,593.404666
5,10000,2,3.369535114,593.553690
5,10000,3,3.356499157,595.858931
5,10000,4,3.190084687,626.942604
5,10000,5,3.168610384,631.191519
6,10000,1,2.869478278,696.990814
6,10000,2,2.864745879,698.142203
6,10000,3,2.860856898,699.091241
6,10000,4,2.712111049,737.432931
6,10000,5,2.860738283,699.120228
7,10000,1,2.264436918,883.221778
7,10000,2,2.419964612,826.458366
7,10000,3,2.417061276,827.451095
7,10000,4,2.268954110,881.463398
7,10000,5,2.412226074,829.109685
8,10000,1,2.66872064,967.645765
8,10000,2,2.58975588,971.356830
8,10000,3,2.66010990,968.049062
8,10000,4,2.71305129,965.574783
8,10000,5,2.82898362,960.200477
9,10000,1,1.782981274,1121.716772
9,10000,2,1.795279828,1114.032458
9,10000,3,1.770215436,1129.805988
9,10000,4,1.786429563,1119.551558
9,10000,5,1.774026982,1127.378569
10,10000,1,1.589681580,1258.113590
10,10000,2,1.581300704,1264.781578
10,10000,3,1.583782747,1262.799461
10,10000,4,1.586717624,1260.463721
10,10000,5,1.580564836,1265.370426
