Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.17264148,926.776114
2000,2,0.16380919,976.746176
2000,3,0.16523637,968.309822
2000,4,0.16670968,959.752307
2000,5,0.16757494,954.796702
4000,1,0.89321909,1433.019082
4000,2,0.89393014,1431.879229
4000,3,0.89828961,1424.930207
4000,4,0.89713370,1426.766155
4000,5,0.89481958,1430.455959
6000,1,0.285424756,1513.533745
6000,2,0.285073892,1515.396577
6000,3,0.285800324,1511.544822
6000,4,0.284942527,1516.095209
6000,5,0.285132707,1515.083992
8000,1,0.647147553,1582.328474
8000,2,0.647852658,1580.606311
8000,3,0.647291559,1581.976446
8000,4,0.647486255,1581.500753
8000,5,0.646507381,1583.895297
10000,1,1.290284916,1550.045246
10000,2,1.293809384,1545.822765
10000,3,1.290091092,1550.278126
10000,4,1.289881757,1550.529720
10000,5,1.281792948,1560.314404
12000,1,2.266054882,1525.117519
12000,2,2.258492186,1530.224466
12000,3,2.199522280,1571.250281
12000,4,2.195356665,1574.231675
12000,5,2.270109957,1522.393217
14000,1,3.434603653,1597.855402
14000,2,3.542974138,1548.981106
14000,3,3.427680489,1601.082720
14000,4,3.445679646,1592.719162
14000,5,3.519561717,1559.285059
16000,1,5.250210001,1560.318539
16000,2,5.238570727,1563.785320
16000,3,5.276798357,1552.456517
16000,4,5.194245654,1577.129875
16000,5,5.236699319,1564.344161
18000,1,7.536610419,1547.645341
18000,2,7.609506505,1532.819506
18000,3,7.444741455,1566.743462
18000,4,7.607828694,1533.157550
18000,5,7.908893848,1474.795366
20000,1,10.426835841,1534.501957
20000,2,10.344320957,1546.742417
20000,3,10.357130029,1544.829500
20000,4,10.376901917,1541.886020
20000,5,10.351740154,1545.633851

