size,cores,time
10000,1,60.123621
10000,1,60.355858
10000,1,60.151169
10000,1,60.163325
10000,1,60.168406
10000,2,60.200587
10000,2,60.269440
10000,2,60.307343
10000,2,60.214750
10000,2,60.206260
10000,3,60.368029
10000,3,60.273517
10000,3,60.281458
10000,3,60.416523
10000,3,60.327873
10000,4,60.443598
10000,4,60.456670
10000,4,60.509851
10000,4,60.322552
10000,4,60.422702
10000,5,60.795515
10000,5,60.532939
10000,5,60.572478
10000,5,60.447948
10000,5,60.418311
10000,6,60.479055
10000,6,60.520377
10000,6,60.467123
10000,6,60.472382
10000,6,60.508736
10000,7,60.670318
10000,7,60.565448
10000,7,60.492696
10000,7,60.583173
10000,7,60.673163
10000,8,60.645278
10000,8,60.579643
10000,8,60.714011
10000,8,60.652095
10000,8,60.585944
10000,9,60.800977
10000,9,60.726316
10000,9,60.683573
10000,9,60.634995
10000,9,60.784844
10000,10,60.740566
10000,10,60.934482
10000,10,60.653564
10000,10,60.580401
10000,10,60.800290
10000,11,60.773198
10000,11,60.778184
10000,11,60.817490
10000,11,60.778580
10000,11,60.937027
10000,12,60.873603
10000,12,60.835485
10000,12,60.948954
10000,12,60.892484
10000,12,60.693948
10000,13,60.906713
10000,13,60.961140
10000,13,60.866016
10000,13,61.036137
10000,13,60.695646
10000,14,60.818437
10000,14,60.996119
10000,14,60.907733
10000,14,60.811690
10000,14,60.970569
10000,15,60.757019
10000,15,60.840387
10000,15,60.889761
10000,15,60.908951
10000,15,60.885914
10000,16,60.394455
10000,16,60.876137
10000,16,61.016104
10000,16,60.719096
10000,16,60.728877
10000,17,60.635999
10000,17,60.993281
10000,17,61.130861
10000,17,60.989064
10000,17,61.332206
10000,18,61.396361
10000,18,60.791023
10000,18,61.153103
10000,18,60.914345
10000,18,60.872466
10000,19,61.292422
10000,19,61.537580
10000,19,61.140362
10000,19,60.613352
10000,19,61.076870
10000,20,61.293882
10000,20,61.417927
10000,20,61.191934
10000,20,61.223980
10000,20,61.067944
10000,21,61.551592
10000,21,61.072482
10000,21,61.547327
10000,21,61.493942
10000,21,61.487882
10000,22,61.688929
10000,22,61.377108
10000,22,60.824987
10000,22,61.353202
10000,22,61.313892
10000,23,61.738657
10000,23,61.710167
10000,23,61.674851
10000,23,61.642884
10000,23,61.445467
10000,24,61.735270
10000,24,62.112023
10000,24,61.691043
10000,24,61.317034
10000,24,61.902627
