size,cores,time
25000,1,365.538303
25000,1,365.823374
25000,1,365.347734
25000,1,365.302002
25000,1,365.382103
25000,2,183.467057
25000,2,183.482319
25000,2,183.455809
25000,2,183.561977
25000,2,183.516984
25000,3,123.150106
25000,3,123.177062
25000,3,123.136604
25000,3,123.216416
25000,3,123.143434
25000,4,95.135572
25000,4,95.113658
25000,4,95.253061
25000,4,95.153511
25000,4,95.164427
25000,5,75.381309
25000,5,75.332775
25000,5,75.289693
25000,5,75.280465
25000,5,75.429058
25000,6,66.137936
25000,6,66.240804
25000,6,66.429895
25000,6,66.264913
25000,6,66.193002
25000,7,54.712355
25000,7,54.642338
25000,7,54.665254
25000,7,54.658804
25000,7,54.643656
25000,8,51.638156
25000,8,51.643765
25000,8,51.638191
25000,8,51.675237
25000,8,51.666373
25000,9,45.796597
25000,9,45.856076
25000,9,45.819299
25000,9,45.807470
25000,9,45.780318
25000,10,41.981025
25000,10,42.080564
25000,10,41.953683
25000,10,42.078306
25000,10,41.979380
25000,11,38.698220
25000,11,38.689876
25000,11,38.588350
25000,11,38.716805
25000,11,38.650675
25000,12,36.708970
25000,12,36.535607
25000,12,36.518930
25000,12,36.514208
25000,12,36.553792
25000,13,35.392033
25000,13,35.184633
25000,13,35.234652
25000,13,35.173152
25000,13,35.066605
25000,14,33.510166
25000,14,33.495398
25000,14,33.477943
25000,14,33.619894
25000,14,33.512609
25000,15,31.994121
25000,15,31.924615
25000,15,32.064031
25000,15,31.882425
25000,15,32.144632
25000,16,26.515076
25000,16,26.204113
25000,16,26.637712
25000,16,26.639085
25000,16,26.649043
25000,17,25.028658
25000,17,24.852360
25000,17,25.137945
25000,17,25.174153
25000,17,24.829366
25000,18,24.096085
25000,18,24.130259
25000,18,24.005081
25000,18,23.973740
25000,18,24.121316
25000,19,23.079585
25000,19,23.320521
25000,19,22.972397
25000,19,23.057138
25000,19,22.782296
25000,20,21.763740
25000,20,21.878093
25000,20,21.677440
25000,20,22.112468
25000,20,22.176672
25000,21,20.790182
25000,21,21.242987
25000,21,20.794236
25000,21,21.088435
25000,21,21.254176
25000,22,19.971914
25000,22,20.279482
25000,22,20.419444
25000,22,20.018425
25000,22,20.266597
25000,23,19.708050
25000,23,19.339874
25000,23,19.811561
25000,23,19.397655
25000,23,19.595405
25000,24,19.281853
25000,24,18.844674
25000,24,19.285126
25000,24,18.822049
25000,24,19.084053
25000,25,19.264752
25000,25,18.236054
25000,25,18.640922
25000,25,18.244279
25000,25,18.591793
25000,26,18.423451
25000,26,18.053518
25000,26,18.178355
25000,26,17.710027
25000,26,18.150517
25000,27,17.246379
25000,27,17.659824
25000,27,17.391422
25000,27,17.199742
25000,27,17.636013
25000,28,16.787376
25000,28,17.208519
25000,28,17.184903
25000,28,16.830915
25000,28,16.772909
25000,29,16.474326
25000,29,16.270538
25000,29,16.289031
25000,29,16.512124
25000,29,16.183284
25000,30,16.123356
25000,30,15.707270
25000,30,16.175518
25000,30,15.790162
25000,30,16.169664
25000,31,15.413177
25000,31,15.817283
25000,31,15.374587
25000,31,15.809080
25000,31,15.426338
25000,32,15.498792
25000,32,15.075262
25000,32,15.535401
25000,32,15.090905
25000,32,15.489653
25000,33,14.716823
25000,33,15.100421
25000,33,14.703437
25000,33,15.185892
25000,33,14.730829
25000,34,14.797369
25000,34,14.366839
25000,34,14.814655
25000,34,14.362257
25000,34,14.789583
25000,35,13.975795
25000,35,14.328445
25000,35,13.992669
25000,35,14.339963
25000,35,13.956986
25000,36,13.888493
25000,36,13.736330
25000,36,13.723624
25000,36,14.043681
25000,36,13.720416
25000,37,13.642855
25000,37,13.296399
25000,37,13.619452
25000,37,13.287926
25000,37,13.624325
25000,38,13.040254
25000,38,13.047050
25000,38,13.377829
25000,38,13.045447
25000,38,13.019394
25000,39,12.697191
25000,39,13.095428
25000,39,12.720269
25000,39,12.718477
25000,39,12.784719
25000,40,12.519540
25000,40,12.756889
25000,40,12.480201
25000,40,12.919539
25000,40,12.525625
25000,41,12.627061
25000,41,12.277069
25000,41,12.281284
25000,41,12.356773
25000,41,12.497286
25000,42,12.104368
25000,42,12.154085
25000,42,12.230383
25000,42,12.100730
25000,42,12.138136
25000,43,11.941166
25000,43,12.156783
25000,43,11.885448
25000,43,12.320457
25000,43,11.924166
25000,44,11.897120
25000,44,11.748950
25000,44,11.697736
25000,44,12.082398
25000,44,11.647767
25000,45,11.496454
25000,45,11.494308
25000,45,11.460248
25000,45,11.872000
25000,45,11.867587
25000,46,11.357147
25000,46,11.724372
25000,46,11.551999
25000,46,11.337659
25000,46,11.815082
25000,47,11.186140
25000,47,11.182262
25000,47,11.388574
25000,47,11.189884
25000,47,12.127623
25000,48,11.055738
25000,48,11.021745
25000,48,11.038720
25000,48,11.394608
25000,48,11.041814
